X,frankfurt_urban_n_vehicles.MA[2].udpApp[0]/rcvdPkLifetime:vector
35.099031055008,0.0759784
35.102404446601,0.0693518
35.115614356456,0.0725617
35.122815040685,0.0697624
35.132964040686,0.0699114
35.144654302659,0.0716016
35.152037040686,0.0689844
35.162913040685,0.0698604
35.172444749323,0.0693921
35.189363028693,0.0763103
35.194531831494,0.0714792
35.202960060999,0.0699074
35.212716054812,0.0696634
35.224623371891,0.0715707
35.238510280916,0.0754576
35.263825280915,0.0907726
35.265654445662,0.0826018
35.268001148654,0.0749485
35.275675194072,0.0726225
35.282037061838,0.0689844
35.292627928986,0.0695752
35.30312606876,0.0700734
35.312752068759,0.0696994
35.323024357421,0.0699717
35.346061877966,0.0830092
35.349067292422,0.0760146
35.356105877966,0.0730532
35.365467247351,0.0724146
35.374496992478,0.0714443
35.382037075682,0.0689844
35.392452281141,0.0693996
35.402613082472,0.0695604
35.413208865539,0.0701562
35.422351082472,0.0692984
35.434515344134,0.0714627
35.444424344134,0.0713717
35.454298344134,0.0712457
35.463885344134,0.0708327
35.472950089261,0.0698974
35.483608802839,0.0705561
35.494325344134,0.0712727
35.502037095986,0.0689844
35.512351095986,0.0692984
35.523984357582,0.0709317
35.532685095986,0.0696324
35.545780498764,0.0727278
35.564711922688,0.0816592
35.570172879889,0.0771202
35.578656581265,0.0756039
35.582222351991,0.0691697
35.592095239144,0.0690426
35.6047043708,0.0716517
35.612808685395,0.069756
35.623341109319,0.0702884
35.6346513708,0.0715987
35.64587294442,0.0728203
35.652037109319,0.0689844
35.663036109319,0.0699834
35.672603325645,0.0695506
35.684353244437,0.0713006
35.695852800366,0.0728001
35.703015215407,0.0699625
35.712356502872,0.0693038
35.73653896573,0.0834863
35.745137593266,0.0820849
35.74586482512,0.0728121
35.754938383816,0.0718857
35.765712791228,0.0726601
35.783236232865,0.0801836
35.784413464719,0.0713608
35.792351128944,0.0692984
35.802658135334,0.0696055
35.813087933647,0.0700353
35.824367362008,0.0713147
35.85239418134,0.0893415
35.853211425974,0.0801587
35.853749670608,0.070697
35.862037135334,0.0689845
35.916731165875,0.113678
35.919266020951,0.106213
35.921360634219,0.098308
35.923086891469,0.0900342
35.931360356958,0.0883077
35.933032614208,0.0799799
35.935535484725,0.0724828
35.942275806471,0.0692231
35.955354572626,0.0723019
35.962037148032,0.0689845
35.97235115434,0.0692985
35.982554715351,0.069502
35.999185202688,0.0761325
