X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
189.7674592791,1
190.7674592791,2
192.7674592791,3
196.7674592791,4
204.7674592791,5
220.7674592791,6
252.7674592791,7
284.7674592791,8
288.921242623921,1
289.921242623921,2
291.921242623921,3
295.921242623921,4
303.921242623921,5
319.921242623921,6
335.250637304741,1
336.250637304741,2
338.250637304741,3
342.250637304741,4
350.250637304741,5
366.250637304741,6
398.250637304741,7
398.885762322819,1
399.885762322819,2
401.885762322819,3
405.885762322819,4
