X,frankfurt_urban_n_vehicles.MA[5].tcpApp[0]/endToEndDelay:vector
416.614487818887,0.448623
416.805181166185,0.180693
416.994281505528,0.1791
417.184065962493,0.179784
417.3734568173,0.179391
417.562865638063,0.179409
417.752374319547,0.179509
417.942537961833,0.180164
418.134294206743,0.181756
418.327073140606,0.182779
418.518999147415,0.181926
418.709707064901,0.180708
418.900651031072,0.180944
419.091147751588,0.180497
419.284634634754,0.183487
419.476965655741,0.182331
419.668603042217,0.181637
419.861687642649,0.183085
420.058096215334,0.186409
420.248503401309,0.180407
420.438330162513,0.179827
420.62909580137,0.180766
420.823587801666,0.184492
421.015471516341,0.181884
421.212242678755,0.186771
421.402475605359,0.180233
421.59306135907,0.180586
421.785355111555,0.182294
421.977909600527,0.182554
422.170349523376,0.18244
422.360978956783,0.180629
422.553745409817,0.182766
422.748563431182,0.184818
422.958542177375,0.199979
423.148179917715,0.179638
423.34459436033,0.186414
423.538121090541,0.183527
423.739069969111,0.190949
423.933603478936,0.184534
424.127145153934,0.183542
424.320097434042,0.182952
424.511331886365,0.181234
424.721305783473,0.199974
424.920656062487,0.18935
425.120534164206,0.189878
425.336607724292,0.206074
425.528033682473,0.181426
425.72687952281,0.188846
425.923444799872,0.186565
426.134888475258,0.201444
426.325503385354,0.180615
426.535148463512,0.199645
426.727934619926,0.182786
426.918995694104,0.181061
427.111527594712,0.182532
427.302781947865,0.181254
427.494021238977,0.181239
427.703946281085,0.199925
427.893358715105,0.179412
428.087041667776,0.183683
428.29686223418,0.199821
428.490164583595,0.183302
428.681538640847,0.181374
428.875832053417,0.184293
429.102136979515,0.216305
429.297716981548,0.18558
429.489392306502,0.181675
429.680603175789,0.181211
429.875547985884,0.184945
430.0742915861,0.188744
430.317232094894,0.232941
430.510588062975,0.183356
430.726758711782,0.206171
430.932241517799,0.195483
431.13212696539,0.189885
431.324059934623,0.181933
431.526377226148,0.192317
431.725209697588,0.188832
431.932761984875,0.197552
432.222626415611,0.279864
432.502420218203,0.269794
432.707742562619,0.195322
432.909226919088,0.191484
433.125473066016,0.206246
433.333039874965,0.197567
433.638868715941,0.295829
433.870003736035,0.221135
434.114769898824,0.234766
435.480373909075,1.3556
437.204796576268,1.71442
