X,frankfurt_urban_n_vehicles_mipv6.MA[5].tcp/rcvd seq
40.676229128926,1.01558e+07
40.739676906448,1.01558e+07
40.741573705458,1.01558e+07
40.804317247718,1.01563e+07
40.805212061498,1.01569e+07
40.867374797362,1.01574e+07
40.871656079891,1.01579e+07
40.873521893671,1.01585e+07
40.874032707451,1.0159e+07
40.96271801617,1.01595e+07
40.963739686848,1.01601e+07
40.970407265889,1.01606e+07
40.970990094555,1.01611e+07
40.973288751887,1.01617e+07
40.974363580553,1.01622e+07
40.975339409219,1.01628e+07
40.975913237885,1.01633e+07
41.030036076012,1.01638e+07
41.032243764452,1.01644e+07
41.032781607836,1.01649e+07
41.034640125575,1.01654e+07
41.039935801035,1.0166e+07
41.040554644419,1.01665e+07
41.042700331187,1.0167e+07
41.04371517457,1.01676e+07
41.046028704722,1.01681e+07
41.047067548106,1.01686e+07
41.04754239149,1.01692e+07
41.049603921642,1.01697e+07
41.050705765026,1.01703e+07
41.05161860841,1.01708e+07
41.107913669646,1.01713e+07
41.112455025916,1.01719e+07
41.113368704052,1.01724e+07
41.119666575323,1.01729e+07
41.121001640029,1.01735e+07
41.121620497991,1.0174e+07
41.122131355953,1.01745e+07
41.123646071877,1.01751e+07
41.124765929839,1.01756e+07
41.127503503725,1.01762e+07
41.129802219649,1.01767e+07
41.132269935572,1.01772e+07
41.132942793534,1.01778e+07
41.13437585824,1.01783e+07
41.205933329129,1.01788e+07
41.208505538197,1.01794e+07
41.210237410724,1.01799e+07
41.215815069489,1.01804e+07
41.219564706649,1.0181e+07
41.220477935749,1.01815e+07
41.221078808277,1.0182e+07
41.222828680804,1.01826e+07
41.22432542586,1.01831e+07
41.226154388856,1.01837e+07
41.227160261383,1.01842e+07
41.229576006439,1.01847e+07
41.230212878967,1.01853e+07
41.234684841961,1.01858e+07
41.278785066008,1.01863e+07
41.279385938536,1.01869e+07
41.279923811064,1.01874e+07
41.280558683592,1.01879e+07
41.284039101728,1.01885e+07
41.287950324613,1.0189e+07
41.288954006701,1.01896e+07
41.290064879229,1.01901e+07
41.291715751756,1.01906e+07
41.292881292554,1.01912e+07
41.293482165082,1.01917e+07
41.29453903761,1.01922e+07
41.295478910138,1.01928e+07
41.2991833511,1.01933e+07
41.363743954652,1.01938e+07
41.373245484784,1.01944e+07
41.395654621189,1.01949e+07
41.398564395268,1.01954e+07
41.399675282308,1.0196e+07
41.400285176585,1.01965e+07
41.400760078099,1.01971e+07
41.402112881127,1.01976e+07
41.403573684155,1.01981e+07
41.404657585669,1.01987e+07
41.405714487183,1.01992e+07
41.406843388697,1.01997e+07
41.407918290211,1.02003e+07
41.408535191725,1.02008e+07
41.488803705388,1.02013e+07
41.489734606902,1.02019e+07
41.504023590011,1.02024e+07
41.504901284858,1.0203e+07
41.505502200828,1.02035e+07
41.508756864708,1.0204e+07
41.509312780678,1.02046e+07
41.511390612618,1.02051e+07
41.514580528586,1.02056e+07
41.515073444556,1.02062e+07
41.517333192466,1.02067e+07
41.518336108436,1.02072e+07
41.525330940373,1.02078e+07
41.526279856343,1.02083e+07
41.572386980626,1.02088e+07
41.572942896596,1.02094e+07
41.576810325817,1.02099e+07
41.577312241787,1.02105e+07
41.578342157757,1.0211e+07
41.581888905666,1.02115e+07
41.582543821636,1.02121e+07
41.583009737606,1.02126e+07
41.584039653576,1.02131e+07
41.585500485516,1.02137e+07
41.586038401486,1.02142e+07
41.587005317456,1.02147e+07
41.588442592207,1.02153e+07
41.593160162929,1.02158e+07
41.67748347938,1.02164e+07
41.678424178796,1.02169e+07
41.679400109152,1.02174e+07
41.682620341792,1.0218e+07
41.68407105466,1.02185e+07
41.686042684432,1.0219e+07
41.687036614788,1.02196e+07
41.687655545144,1.02201e+07
41.689103405856,1.02206e+07
41.874084801752,1.02212e+07
41.876445204858,1.02212e+07
41.876911163942,1.02217e+07
41.877476123026,1.02222e+07
41.87846108211,1.02228e+07
41.881373918446,1.02233e+07
41.882878639958,1.02238e+07
41.884118599041,1.02244e+07
41.885229558125,1.02249e+07
41.886679866113,1.02254e+07
41.888373784281,1.0226e+07
41.891121661532,1.02265e+07
41.892115620616,1.0227e+07
41.8925815797,1.02276e+07
41.893999538784,1.02281e+07
41.956678759601,1.02287e+07
41.957324732799,1.02292e+07
41.959494652393,1.02297e+07
41.960194625591,1.02303e+07
41.961819598789,1.02308e+07
41.962912571987,1.02313e+07
41.96609949158,1.02319e+07
41.966808464778,1.02324e+07
41.967901437976,1.02329e+07
41.97066735757,1.02335e+07
41.973967277164,1.0234e+07
41.974934250362,1.02346e+07
41.97595522356,1.02351e+07
41.976592196758,1.02356e+07
42.024822757154,1.02362e+07
42.028392177012,1.02367e+07
42.029842906576,1.02372e+07
42.03030889368,1.02378e+07
42.031814867888,1.02383e+07
42.032280854992,1.02388e+07
42.035942532389,1.02394e+07
42.036963519493,1.02399e+07
42.038011506597,1.02404e+07
42.038978493701,1.0241e+07
42.040582467909,1.02415e+07
42.041147455013,1.02421e+07
42.042159442117,1.02426e+07
42.046357119806,1.02431e+07
42.093902241446,1.02437e+07
