X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
197.297144973614,1
198.297144973614,2
200.297144973614,3
204.297144973614,4
212.297144973614,5
228.297144973614,6
260.297144973614,7
292.297144973614,8
295.855039605649,1
296.855039605649,2
298.855039605649,3
302.855039605649,4
310.855039605649,5
326.855039605649,6
338.160735776388,1
339.160735776388,2
341.160735776388,3
345.160735776388,4
353.160735776388,5
369.160735776388,6
395.751100572739,1
396.751100572739,2
398.751100572739,3
402.751100572739,4
410.751100572739,5
426.751100572739,6
