X,frankfurt_urban_n_vehicles.MA[1].idLayer/sequenceUpdateCa:vector
198.325788491257,1
298.559751748596,2
333.91249395242,3
380.275299297833,4
380.775299297833,5
381.275299297833,6
381.775299297833,7
381.859196603861,8
382.359196603861,9
382.859196603861,10
383.359196603861,11
383.859196603861,12
384.359196603861,13
384.859196603861,14
385.359196603861,15
385.859196603861,16
386.359196603861,17
386.859196603861,18
387.359196603861,19
387.859196603861,20
388.359196603861,21
388.859196603861,22
389.359196603861,23
389.859196603861,24
390.359196603861,25
390.859196603861,26
391.359196603861,27
391.859196603861,28
392.359196603861,29
392.859196603861,30
393.359196603861,31
393.859196603861,32
394.359196603861,33
394.859196603861,34
395.359196603861,35
395.859196603861,36
396.359196603861,37
396.859196603861,38
397.359196603861,39
397.859196603861,40
398.359196603861,41
398.859196603861,42
399.359196603861,43
399.859196603861,44
400.343853101574,45
400.843853101574,46
401.343853101574,47
401.843853101574,48
401.953275089939,49
