X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
163.228565890061,1
164.228565890061,2
166.228565890061,3
170.228565890061,4
178.228565890061,5
194.228565890061,6
226.228565890061,7
258.228565890061,8
288.831445989144,1
289.831445989144,2
291.831445989144,3
295.831445989144,4
303.831445989144,5
319.831445989144,6
332.433286796584,1
333.433286796584,2
335.433286796584,3
339.433286796584,4
347.433286796584,5
363.433286796584,6
395.433286796584,7
