X,frankfurt_urban_n_vehicles_mipv6.MA[4].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
158.200852432697,1
159.200852432697,2
161.200852432697,3
165.200852432697,4
173.200852432697,5
189.200852432697,6
221.200852432697,7
253.200852432697,8
285.200852432697,9
294.220871721998,1
295.220871721998,2
297.220871721998,3
301.220871721998,4
309.220871721998,5
325.220871721998,6
340.188733566225,1
341.188733566225,2
343.188733566225,3
347.188733566225,4
355.188733566225,5
371.188733566225,6
399.579453123921,1
400.579453123921,2
403.188733566225,7
435.188733566225,8
