X,frankfurt_urban_n_vehicles_multi_radio.MA[0].tcp/rcvd seq
30.705850529234,7.67543e+06
30.711129342446,7.67543e+06
30.727688693222,7.67543e+06
30.732395154058,7.67597e+06
30.734436504834,7.6765e+06
30.737636614894,7.67704e+06
30.73834096567,7.67758e+06
30.74053896567,7.67811e+06
30.741841316446,7.67865e+06
30.747316128058,7.67918e+06
30.747876478834,7.67972e+06
30.74849082961,7.68026e+06
30.749529180386,7.68079e+06
30.752248232714,7.68133e+06
30.75331358349,7.68186e+06
30.754315934266,7.6824e+06
30.755336285042,7.68294e+06
30.755950635818,7.68347e+06
30.756492986594,7.68401e+06
30.758295688146,7.68454e+06
30.760349038922,7.68508e+06
30.761080389698,7.68562e+06
30.762644740474,7.68615e+06
30.766437143578,7.68669e+06
30.766943494354,7.68722e+06
30.770252546682,7.68776e+06
30.774687949786,7.6883e+06
30.775212300562,7.68883e+06
30.775736651338,7.68937e+06
30.776703002114,7.6899e+06
30.77724535289,7.69044e+06
30.78161310677,7.69098e+06
30.783112808322,7.69151e+06
30.784633159098,7.69205e+06
30.785635509874,7.69258e+06
30.78717286065,7.69312e+06
30.787868211426,7.69366e+06
30.788918562202,7.69419e+06
30.789947912978,7.69473e+06
30.790436263754,7.69526e+06
30.79097861453,7.6958e+06
30.795175017634,7.69634e+06
30.799156420738,7.69687e+06
30.800341780534,7.69741e+06
30.809215206326,7.69794e+06
30.809694575142,7.69848e+06
30.810741943958,7.69902e+06
30.813570050406,7.69955e+06
30.814854419222,7.70009e+06
30.815937788038,7.70062e+06
30.816913156854,7.70116e+06
30.81742852567,7.7017e+06
30.817970894486,7.70223e+06
30.818441263302,7.70277e+06
30.819452632118,7.7033e+06
30.819932000934,7.70384e+06
30.822182107382,7.70438e+06
30.823546845014,7.70491e+06
30.82560521383,7.70545e+06
30.826354582646,7.70598e+06
30.841908639622,7.70652e+06
30.842588008438,7.70706e+06
30.846858483702,7.70759e+06
30.849910221334,7.70813e+06
30.853078327782,7.70866e+06
30.856005065414,7.7092e+06
30.85647543423,7.70974e+06
30.858346171862,7.71027e+06
30.860714909494,7.71081e+06
30.86131127831,7.71134e+06
30.863347015942,7.71188e+06
30.864250384758,7.71242e+06
30.86729412239,7.71295e+06
30.868422491206,7.71349e+06
30.875466597654,7.71402e+06
30.87615296647,7.71456e+06
30.878247704102,7.7151e+06
30.879810441734,7.71563e+06
30.88088481055,7.71617e+06
30.883543179366,7.7167e+06
30.894011548182,7.71724e+06
30.895842916998,7.71778e+06
30.896935285814,7.71831e+06
30.900089392262,7.71885e+06
30.902283166002,7.71938e+06
30.902771552872,7.71992e+06
30.903710939742,7.72046e+06
30.904451326612,7.72099e+06
30.910684647832,7.72153e+06
30.913502421572,7.72206e+06
30.914468808442,7.7226e+06
30.914948195312,7.72314e+06
30.916459582182,7.72367e+06
30.917978355922,7.72421e+06
30.920191742792,7.72474e+06
30.923047129662,7.72528e+06
30.924157516532,7.72582e+06
30.925963290272,7.72635e+06
30.926685677142,7.72689e+06
30.927318064012,7.72742e+06
30.928437450882,7.72796e+06
30.931814837752,7.7285e+06
30.932474224622,7.72903e+06
30.934536611492,7.72957e+06
30.935087998362,7.7301e+06
30.935693385232,7.73064e+06
30.937620772102,7.73118e+06
30.938343158972,7.73171e+06
30.938894545842,7.73225e+06
30.978604765473,7.73332e+06
30.979863106491,7.73386e+06
30.984479447509,7.73439e+06
31.043813731872,7.736e+06
31.069256362212,7.73707e+06
31.07039468828,7.73761e+06
31.070938014348,7.73814e+06
31.122422861131,7.73975e+06
31.136443461943,7.73278e+06
32.106750265294,7.73278e+06
32.129919484414,7.73546e+06
32.131537843694,7.736e+06
32.136529382614,7.73654e+06
32.141035741894,7.73707e+06
32.142257921534,7.73761e+06
32.195905853121,7.73814e+06
