X,frankfurt_urban_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
106.13920209764,1
107.13920209764,2
163.418732966526,3
228.6156083829,4
229.6156083829,5
320.597269642693,6
