X,frankfurt_urban_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
59.191868196923,1
60.191868196923,2
103.743506952941,3
173.575725568424,4
229.8556742843,5
375.256278064903,6
439.040670516567,7
