X,frankfurt_urban_n_vehicles_mipv6.MA[5].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
199.138551210784,1
200.138551210784,2
202.138551210784,3
206.138551210784,4
214.138551210784,5
230.138551210784,6
262.138551210784,7
294.138551210784,8
303.07749785137,1
304.07749785137,2
306.07749785137,3
310.07749785137,4
318.07749785137,5
334.07749785137,6
342.744269807566,1
343.744269807566,2
345.744269807566,3
349.744269807566,4
357.744269807566,5
373.744269807566,6
401.898913568783,1
402.898913568783,2
404.898913568783,3
408.898913568783,4
416.898913568783,5
432.898913568783,6
