X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
158.604278797984,1
159.604278797984,2
161.604278797984,3
165.604278797984,4
173.604278797984,5
189.604278797984,6
221.604278797984,7
253.604278797984,8
285.604278797984,9
290.82427890478,1
291.82427890478,2
293.82427890478,3
297.82427890478,4
305.82427890478,5
321.82427890478,6
336.876373360254,1
337.876373360254,2
339.876373360254,3
343.876373360254,4
351.876373360254,5
367.876373360254,6
393.646013500358,1
394.646013500358,2
396.646013500358,3
400.646013500358,4
