X,frankfurt_urban_n_vehicles.MA[4].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles.MA[4].udpApp[0]/rcvdPk:vector(packetBytes)
38.346733251678,1032,1024
38.350862073681,1032,1024
38.360862073681,1032,1024
38.370862081312,1032,1024
38.381636816989,1032,1024
38.391550081311,1032,1024
38.40086208885,1032,1024
38.41086208885,1032,1024
38.421599456745,1032,1024
38.43086208885,1032,1024
38.44086208885,1032,1024
38.454129215129,1032,1024
38.461029603115,1032,1024
38.470862096388,1032,1024
38.481752494528,1032,1024
38.491033986087,1032,1024
38.501447103862,1032,1024
38.511438103862,1032,1024
38.521549875609,1032,1024
38.530862103862,1032,1024
38.541220795845,1032,1024
38.551268031344,1032,1024
38.560862103862,1032,1024
38.570925866851,1032,1024
38.580862111336,1032,1024
38.591128419899,1032,1024
38.60327847318,1032,1024
38.610862118761,1032,1024
38.620862118761,1032,1024
38.632077118761,1032,1024
38.641537118761,1032,1024
38.651672118761,1032,1024
38.661921825388,1032,1024
38.671176126186,1032,1024
38.680862126186,1032,1024
38.691604126185,1032,1024
38.702285685253,1032,1024
38.712703487884,1032,1024
38.721989561843,1032,1024
38.73140139188,1032,1024
38.740862133538,1032,1024
38.750862133538,1032,1024
38.761767692677,1032,1024
38.771747259097,1032,1024
38.78086214089,1032,1024
38.791568135687,1032,1024
38.800862148128,1032,1024
38.81319750236,1032,1024
38.820862148128,1032,1024
38.831292273759,1032,1024
38.842535840178,1032,1024
38.850862148128,1032,1024
38.863823502359,1032,1024
38.871505155365,1032,1024
38.881176155366,1032,1024
38.89273050236,1032,1024
38.900862162563,1032,1024
38.912748516754,1032,1024
38.922560516754,1032,1024
38.935251097875,1032,1024
38.943269516754,1032,1024
38.950862162563,1032,1024
38.960974082242,1032,1024
38.97086216976,1032,1024
38.98086216976,1032,1024
38.992013119468,1032,1024
39.000863431855,1032,1024
39.011829664285,1032,1024
39.020974722072,1032,1024
39.030862176847,1032,1024
39.041599499151,1032,1024
39.052706176845,1032,1024
39.062766530928,1032,1024
39.073327183932,1032,1024
39.081372281173,1032,1024
39.090862183934,1032,1024
39.100862190947,1032,1024
39.111016123052,1032,1024
39.120862190947,1032,1024
39.132658544954,1032,1024
39.140862190947,1032,1024
39.151550190946,1032,1024
39.160862190947,1032,1024
39.17086219796,1032,1024
39.18086219796,1032,1024
39.19086219796,1032,1024
39.203252558842,1032,1024
39.212031096447,1032,1024
39.222082828804,1032,1024
39.235725204901,1032,1024
39.240862204904,1032,1024
39.253811375717,1032,1024
39.261994463583,1032,1024
39.271519211848,1032,1024
39.284921716637,1032,1024
39.291436473606,1032,1024
39.300862218723,1032,1024
39.310862218723,1032,1024
39.321403035598,1032,1024
39.33154611526,1032,1024
39.344334572591,1032,1024
39.353026376518,1032,1024
39.360862218723,1032,1024
39.370862225598,1032,1024
39.380862225598,1032,1024
39.390862225598,1032,1024
39.402244780597,1032,1024
39.412805079109,1032,1024
39.420862232384,1032,1024
39.430862232384,1032,1024
39.444782586164,1032,1024
39.450862232384,1032,1024
39.460862232384,1032,1024
39.471634452721,1032,1024
39.483292586163,1032,1024
39.49086223917,1032,1024
39.504987245846,1032,1024
39.513782599522,1032,1024
39.520862245849,1032,1024
39.530862245849,1032,1024
39.541186131524,1032,1024
39.553054599522,1032,1024
39.560862245849,1032,1024
39.57103386273,1032,1024
39.581176252528,1032,1024
39.590862252528,1032,1024
39.600878521315,1032,1024
39.610862259134,1032,1024
39.620862259134,1032,1024
39.630862259134,1032,1024
39.640862259134,1032,1024
39.650862259134,1032,1024
39.661217977092,1032,1024
