X,frankfurt_urban_n_vehicles_mipv6.MA[2].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
186.373098794387,1
187.373098794387,2
189.373098794387,3
193.373098794387,4
201.373098794387,5
217.373098794387,6
249.373098794387,7
281.373098794387,8
304.947552828885,1
305.947552828885,2
307.947552828885,3
311.947552828885,4
319.947552828885,5
335.947552828885,6
339.751011330235,1
340.751011330235,2
342.751011330235,3
346.751011330235,4
354.751011330235,5
370.751011330235,6
377.915986347233,1
378.915986347233,2
380.915986347233,3
384.915986347233,4
392.915986347233,5
402.751011330235,7
405.962503778414,6
406.962503778414,7
434.751011330235,8
