X,frankfurt_urban_n_vehicles_mipv6.MA[0].udpApp[0]/rcvdPkLifetime:vector
30.776248501618,0.167768
30.77705689051,0.158577
30.781390438647,0.15291
30.782126827539,0.143646
30.783745216431,0.135265
30.786002605323,0.127522
30.786639994215,0.11816
30.788132383107,0.109652
30.791175438647,0.102695
30.794152827539,0.0956725
30.794754216431,0.0862739
30.796399605323,0.0779193
30.807803126979,0.0793228
30.808548534005,0.0700682
30.814204912528,0.0657246
30.822886382815,0.064406
30.832066038696,0.0635857
30.842254038696,0.0637737
30.851543038696,0.0630627
30.862892038696,0.0644117
30.881516269101,0.0730359
30.884196676127,0.0657163
30.892730047763,0.0642497
30.901229056828,0.0627487
30.931176400945,0.0826961
30.935413055096,0.0769327
30.957818054836,0.0893377
30.959797474911,0.0813171
30.961236900067,0.0727566
30.961991325223,0.063511
30.971229065893,0.0627487
30.982120065893,0.0636397
30.991967065893,0.0634867
31.002687074947,0.0642067
31.012424074947,0.0639437
31.025045350415,0.066565
31.032228074947,0.0637477
31.041229074947,0.0627487
31.052165074947,0.0636847
31.063047074947,0.0645667
31.079806493019,0.0713261
31.084664936283,0.0661846
31.094334084001,0.0658537
31.10189509291,0.0634147
31.113353510837,0.0648732
31.12224609291,0.0637657
31.13214709291,0.0636667
31.144070895813,0.0655906
31.15278609291,0.0643057
31.16201209291,0.0635317
31.174802101819,0.0663218
31.181787510837,0.0633072
31.191229101819,0.0627488
31.204430495559,0.0659502
31.211229110583,0.0627488
31.223551110583,0.0650708
31.233392834739,0.0649125
31.243713110583,0.0652328
31.252948110583,0.0644678
31.265810790693,0.0673304
31.277001141647,0.0685208
31.281229119347,0.0627488
31.292552119347,0.0640718
31.302125713875,0.0636454
31.312192127967,0.0637118
31.322678127967,0.0641978
31.331543127967,0.0630628
31.343011606577,0.0645313
31.352786127967,0.0643058
31.361229127967,0.0627488
31.371949136587,0.0634688
31.384777632437,0.0662973
31.398701214799,0.0702209
31.405126145062,0.0666458
31.412417145062,0.0639368
31.421958145062,0.0634778
31.431229145062,0.0627488
31.447936231894,0.0694559
31.451229145062,0.0627488
31.463492318581,0.065012
31.471229153537,0.0627488
31.482687153537,0.0642068
31.495423153537,0.0669428
31.503893161866,0.0654128
31.512336161866,0.0638558
31.524203442055,0.0657231
31.531229161866,0.0627488
31.541805161866,0.0633248
31.552705161866,0.0642248
31.563245161866,0.0647648
31.572696170195,0.0642158
31.581229170195,0.0627488
31.592291170195,0.0638108
31.60244417838,0.0639638
31.61366817838,0.0651878
31.62122917838,0.0627488
31.63388417838,0.0654038
31.64184117838,0.0633608
31.653747141411,0.0652668
31.66182317838,0.0633428
31.673173186565,0.0646928
31.685009186565,0.0665288
31.719203611661,0.0807233
31.722468735473,0.0739884
31.731992611661,0.0735123
31.733557173567,0.0650768
31.742012194604,0.0635319
31.752622194604,0.0641419
31.761543194604,0.0630629
31.771229202643,0.0627489
31.786314450267,0.0678341
31.793299611661,0.0648193
31.803533210536,0.0650529
31.821193355385,0.072713
31.821794933077,0.0633146
31.831859627447,0.0633793
31.841543210536,0.0630629
31.856470149065,0.0679898
31.862075210536,0.0635949
31.871543218429,0.0630629
31.882138218429,0.0636579
31.891543218429,0.0630629
31.913618236131,0.0751379
31.939604829319,0.0811245
31.941344015695,0.0728637
31.943552608883,0.0650723
31.962202394851,0.0737221
31.969421949366,0.0709416
31.974778827113,0.0662985
31.994780642943,0.0763003
31.996138236131,0.0676579
32.005163207467,0.0666829
32.012390241527,0.0639099
32.023299658147,0.0648193
32.032566141138,0.0640858
32.041229241527,0.0627489
32.064817435505,0.0763371
32.066598043897,0.0681177
32.073385924578,0.0649056
32.099317465913,0.0708371
32.105191503548,0.0667112
32.117937627727,0.0694573
32.121229256656,0.0627489
32.131913256656,0.0634329
32.154487064422,0.0760067
32.169465673201,0.0809853
32.170278341422,0.071798
32.171913264183,0.0634329
32.181229264183,0.0627489
32.194105673201,0.0656253
32.204262271596,0.0657819
32.214748271596,0.0662679
32.222839688027,0.0643593
32.233377563263,0.0648972
32.242723271596,0.0642429
32.253991271596,0.0655109
32.262395439856,0.0639151
32.271832279009,0.0633519
32.287997917281,0.0695176
32.313544138553,0.0850638
32.342353702555,0.103873
32.344143355355,0.095663
32.366267702555,0.107787
32.366816702555,0.0983364
32.393853684617,0.0953733
32.396696337417,0.088216
32.400679709669,0.0821994
32.402307376697,0.073827
32.405672043725,0.0671917
32.415685953451,0.0672056
32.423378300651,0.064898
32.436521300651,0.068041
32.443443300651,0.064963
32.454969282713,0.0664889
32.461543300651,0.063063
32.471543307765,0.063063
32.483470359493,0.06499
32.491543307765,0.063063
32.501697374253,0.063217
32.512454374253,0.063974
32.525189542755,0.0667092
32.531571374253,0.063091
32.541463374253,0.062983
32.55154331473,0.063063
32.563332704201,0.0648524
32.572218321695,0.063738
32.588107636897,0.0696273
32.596283185005,0.0678028
32.602345570561,0.0638652
32.613924023098,0.0654437
32.642771527534,0.0842912
32.655288976914,0.0868086
32.66560008333,0.0871197
32.67042157689,0.0819412
32.702264402957,0.0937841
32.705188110877,0.0867078
32.728148157647,0.0996678
32.732601007891,0.0941207
32.745292653173,0.0868123
32.745894361093,0.077414
32.747666069013,0.0691857
32.753477341991,0.064997
32.766755033887,0.0682747
32.781931402957,0.0734511
32.787651998845,0.0691717
32.797230849089,0.0687505
32.801792547658,0.0633122
32.815385395158,0.0669051
32.86660960638,0.0981293
32.871661416882,0.0931811
32.872844163668,0.0843638
32.876091884622,0.0776115
32.882030416882,0.0735501
32.884431402868,0.0659511
32.894797664276,0.0663173
32.903002368059,0.064522
32.912877709479,0.0643974
32.921229368059,0.062749
32.931833709479,0.0633534
32.942834089013,0.0643537
32.967943430534,0.0794631
32.974335190804,0.0758548
