X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
197.10934214424,1
198.10934214424,2
200.10934214424,3
204.10934214424,4
212.10934214424,5
228.10934214424,6
260.10934214424,7
290.29292069343,1
291.29292069343,2
293.29292069343,3
297.29292069343,4
305.29292069343,5
321.29292069343,6
337.169940547581,1
338.169940547581,2
340.169940547581,3
344.169940547581,4
352.169940547581,5
368.169940547581,6
400.169940547581,7
402.605964134468,1
403.605964134468,2
405.605964134468,3
409.605964134468,4
