X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
192.475929977286,1
193.475929977286,2
195.475929977286,3
199.475929977286,4
207.475929977286,5
223.475929977286,6
255.475929977286,7
287.475929977286,8
292.056077669974,1
293.056077669974,2
295.056077669974,3
299.056077669974,4
307.056077669974,5
323.056077669974,6
337.564464600264,1
338.564464600264,2
340.564464600264,3
344.564464600264,4
352.564464600264,5
368.564464600264,6
400.520277208094,1
401.520277208094,2
403.520277208094,3
407.520277208094,4
415.520277208094,5
431.520277208094,6
