X,frankfurt_urban_n_vehicles_multi_radio.MA[1].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_multi_radio.MA[1].udpApp[0]/rcvdPk:vector(packetBytes)
32.351971158515,1008,1000
32.362966158515,1008,1000
32.383246158515,1008,1000
32.408928958861,1008,1000
32.414980767239,1008,1000
32.425111575617,1008,1000
32.435187383995,1008,1000
32.438192192373,1008,1000
32.440202000751,1008,1000
32.446965809129,1008,1000
32.453529166547,1008,1000
32.461971166547,1008,1000
32.471971166547,1008,1000
32.484537166547,1008,1000
32.491971166547,1008,1000
32.502534174476,1008,1000
32.511971174476,1008,1000
32.522795174476,1008,1000
32.535307174476,1008,1000
32.542633174476,1008,1000
32.556552271917,1008,1000
32.575459109939,1008,1000
32.577486947961,1008,1000
32.582633174476,1008,1000
32.591971174476,1008,1000
32.601971182262,1008,1000
32.613942293245,1008,1000
32.621971182262,1008,1000
32.631971182262,1008,1000
32.641971182262,1008,1000
32.652831182262,1008,1000
32.662758571358,1008,1000
32.671971182262,1008,1000
32.698734293245,1008,1000
32.702414168061,1008,1000
32.703726063803,1008,1000
32.712597189942,1008,1000
32.723961189942,1008,1000
32.732975189942,1008,1000
32.741971189942,1008,1000
32.751971189942,1008,1000
32.763029189942,1008,1000
32.779571314171,1008,1000
32.789360209913,1008,1000
32.791973105655,1008,1000
32.801971197484,1008,1000
32.813002197484,1008,1000
32.822552197484,1008,1000
32.832966197484,1008,1000
32.841971197484,1008,1000
32.851971197484,1008,1000
32.869110197484,1008,1000
32.87270012126,1008,1000
32.881971197484,1008,1000
32.900390342091,1008,1000
32.901971204912,1008,1000
32.919438660947,1008,1000
32.925045612233,1008,1000
32.932015103297,1008,1000
32.944024204912,1008,1000
32.953691156198,1008,1000
32.961971204912,1008,1000
32.971971204912,1008,1000
32.981971204912,1008,1000
33.006921374386,1008,1000
33.010318352598,1008,1000
33.01247233081,1008,1000
33.021971212197,1008,1000
33.033835212197,1008,1000
33.041971212197,1008,1000
33.051971212197,1008,1000
33.061971212197,1008,1000
33.073038212197,1008,1000
33.084402212197,1008,1000
33.093105190409,1008,1000
33.101971219383,1008,1000
33.124186675418,1008,1000
33.125534680064,1008,1000
33.14497668471,1008,1000
33.148782689356,1008,1000
33.151971219383,1008,1000
33.161971219383,1008,1000
33.171971219383,1008,1000
33.181971219383,1008,1000
33.191971219383,1008,1000
33.202885226458,1008,1000
33.232818226458,1008,1000
33.23593125702,1008,1000
33.237306287582,1008,1000
33.241971226458,1008,1000
33.251971226458,1008,1000
33.262642226458,1008,1000
33.271971226458,1008,1000
33.287523412475,1008,1000
33.291971226458,1008,1000
33.301971233394,1008,1000
33.311971233394,1008,1000
33.321971233394,1008,1000
33.331971233394,1008,1000
33.344177233394,1008,1000
33.352633233394,1008,1000
33.363083233394,1008,1000
33.373622430881,1008,1000
33.381971233394,1008,1000
33.391971233394,1008,1000
33.401971240228,1008,1000
33.412786240228,1008,1000
33.421971240228,1008,1000
33.431971240228,1008,1000
33.441971240228,1008,1000
33.451971240228,1008,1000
33.461971240228,1008,1000
33.471971240228,1008,1000
33.482867240228,1008,1000
33.492207122165,1008,1000
33.502577856609,1008,1000
33.511971246918,1008,1000
33.521971246918,1008,1000
33.542348466453,1008,1000
33.545380571453,1008,1000
33.553040270545,1008,1000
33.575366246918,1008,1000
33.576903351918,1008,1000
33.596791456918,1008,1000
33.598846561918,1008,1000
33.603817253488,1008,1000
33.611971253488,1008,1000
33.622921253488,1008,1000
33.641834484073,1008,1000
33.650727613263,1008,1000
33.661601742453,1008,1000
33.667834871643,1008,1000
33.671971253488,1008,1000
33.687398628475,1008,1000
