X,frankfurt_urban_n_vehicles_mipv6.MA[2].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
203.396740088238,1
204.396740088238,2
206.396740088238,3
210.396740088238,4
218.396740088238,5
234.396740088238,6
266.396740088238,7
295.611653086741,1
296.611653086741,2
298.611653086741,3
302.611653086741,4
310.611653086741,5
326.611653086741,6
336.446264454937,1
337.446264454937,2
339.446264454937,3
343.446264454937,4
351.446264454937,5
367.446264454937,6
372.575112463587,1
373.575112463587,2
375.575112463587,3
379.575112463587,4
387.575112463587,5
399.446264454937,7
399.508530096455,6
