X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
156.156971325542,1
157.156971325542,2
159.156971325542,3
163.156971325542,4
171.156971325542,5
187.156971325542,6
219.156971325542,7
251.156971325542,8
283.156971325542,9
288.865327225484,1
289.865327225484,2
291.865327225484,3
295.865327225484,4
303.865327225484,5
319.865327225484,6
332.211959298548,1
333.211959298548,2
335.211959298548,3
339.211959298548,4
347.211959298548,5
363.211959298548,6
