X,frankfurt_urban_n_vehicles.MA[2].tcpApp[0]/endToEndDelay:vector
194.954117591494,10.4781
195.746846301497,0.692729
196.484103775893,0.637257
197.221431483727,0.637328
197.962141565925,0.64071
198.702557850964,0.640416
199.443653074477,0.641095
200.181216199672,0.637563
200.917809760331,0.636594
201.659519225605,0.641709
202.398297946066,0.638779
203.133565701733,0.635268
203.870179536967,0.636614
204.610155301718,0.639976
205.348594580248,0.638439
206.092999772115,0.644405
206.829086960303,0.636087
207.567036062645,0.637949
208.306647926659,0.639612
209.043520671741,0.636873
209.780038297891,0.636518
210.518366172149,0.638328
211.259061046133,0.640695
211.999816516025,0.640755
212.739084051783,0.639268
213.476795571779,0.637712
214.212136773858,0.635341
214.951338630431,0.639202
215.687880943072,0.636542
216.425852984934,0.637972
217.166879266757,0.641026
217.90465375638,0.637774
218.639171402289,0.634518
219.3758582656,0.636687
220.110390404651,0.634532
220.848033719005,0.637643
221.587605853587,0.639572
222.323522741069,0.635917
223.061943059173,0.63842
223.802531259318,0.640588
224.545602234776,0.643071
225.282236777555,0.636635
226.022151514271,0.639915
226.760103542869,0.637952
227.496313406967,0.63621
228.232324513383,0.636011
228.97558432542,0.64326
229.712981475244,0.637397
230.45138848499,0.638407
231.194021807284,0.642633
231.937317072487,0.643295
232.683030179733,0.645713
233.41793466106,0.634904
234.166030572242,0.648096
234.907079737267,0.641049
235.648475301851,0.641396
236.397128054165,0.648653
237.14412536124,0.646997
237.909922786501,0.665797
238.653850324905,0.643928
239.408491797969,0.654641
240.168191478483,0.6597
240.929366529776,0.661175
241.698140437599,0.668774
242.479959855175,0.681819
243.286015981784,0.706056
244.155006080819,0.76899
245.128164111424,0.873158
246.105505179443,0.877341
247.093428488802,0.887923
248.396100379432,1.20267
249.220288484369,0.724188
250.115095374901,0.794807
316.282624607813,66.0675
317.131576486798,0.748952
317.894989860183,0.663413
318.659218472423,0.664229
319.427096953956,0.667878
320.176003632354,0.648907
320.947999189157,0.671996
321.740353893076,0.692355
322.543781230713,0.703427
323.405321586391,0.76154
324.222599965863,0.717278
325.188288294292,0.865688
326.303904276643,1.01562
327.249479685869,0.845575
328.449555310457,1.10008
329.810507537754,1.26095
349.907221648118,19.9967
350.811666672245,0.804445
351.613777355634,0.702111
352.404603583346,0.690826
353.177696030674,0.673092
353.967238967013,0.689543
354.764240249904,0.697001
355.542274167695,0.678034
356.324166983814,0.681893
357.110199548809,0.686033
357.886196332161,0.675997
358.670344058882,0.684148
359.481007593067,0.710664
360.272493242783,0.691486
361.069330722346,0.696837
361.86510592992,0.695775
362.686908958577,0.721803
363.505556209094,0.718647
364.349514611842,0.743958
365.217680514752,0.768166
366.110067726541,0.792387
367.028487539875,0.81842
368.178295366539,1.04981
369.430926097642,1.15263
370.507246259786,0.97632
372.508857018887,1.90161
406.347862781206,33.739
407.290253065864,0.84239
408.227071529404,0.836818
409.178050403692,0.850979
410.128264628945,0.850214
411.074827543005,0.846563
412.028136918762,0.853309
412.969891986529,0.841755
413.913359857267,0.843468
414.856618429701,0.843259
415.806602651663,0.849984
416.771595599224,0.864993
417.770236683921,0.898641
418.760160049006,0.889923
419.78158166359,0.921422
420.810339210466,0.928758
421.879877856196,0.969539
423.031173167529,1.0513
424.303922678261,1.17275
425.590302498422,1.18638
427.25821764759,1.56792
429.252859122507,1.89464
