X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
212.24822872545,1
213.24822872545,2
215.24822872545,3
219.24822872545,4
227.24822872545,5
243.24822872545,6
275.24822872545,7
303.796221002289,1
304.796221002289,2
306.796221002289,3
310.796221002289,4
318.796221002289,5
334.796221002289,6
346.965666800008,1
347.965666800008,2
349.965666800008,3
353.965666800008,4
361.965666800008,5
377.965666800008,6
409.965666800008,7
413.642054158636,1
414.642054158636,2
416.642054158636,3
