X,frankfurt_urban_n_vehicles_mipv6.MA[4].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
191.519170253304,1
192.519170253304,2
194.519170253304,3
198.519170253304,4
206.519170253304,5
222.519170253304,6
254.519170253304,7
286.519170253304,8
297.499337307129,1
298.499337307129,2
300.499337307129,3
304.499337307129,4
312.499337307129,5
328.499337307129,6
341.555833502817,1
342.555833502817,2
344.555833502817,3
348.555833502817,4
356.555833502817,5
372.555833502817,6
376.38154599891,1
377.38154599891,2
381.009888783193,3
382.009888783193,4
382.433811324937,5
383.433811324937,6
385.433811324937,7
389.433811324937,8
397.433811324937,9
402.430114672049,10
