X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
198.640680651713,1
199.640680651713,2
201.640680651713,3
205.640680651713,4
213.640680651713,5
229.640680651713,6
261.640680651713,7
293.640680651713,8
295.358225805351,1
296.358225805351,2
298.358225805351,3
302.358225805351,4
310.358225805351,5
326.358225805351,6
341.800356841348,1
342.800356841348,2
344.800356841348,3
348.800356841348,4
356.800356841348,5
372.800356841348,6
404.800356841348,7
