X,frankfurt_urban_n_vehicles_multi_radio.MA[0].udpApp[0]/rcvdPkLifetime:vector
30.79073617766,0.0190706
30.897280938518,0.0756154
30.906015285675,0.0643497
30.934786075603,0.0831205
30.936864410311,0.0751989
30.949946414432,0.0782809
31.065287301865,0.133622
31.070078261331,0.128413
31.103423853131,0.151758
31.113067768773,0.131402
31.148493815992,0.126828
31.155259180948,0.123594
31.224219512031,0.152554
31.273943129962,0.182278
31.313140726809,0.191475
31.318500280457,0.186835
31.319282557281,0.177617
31.319893834105,0.168228
31.323097110929,0.161432
31.347630879165,0.175965
31.372810263284,0.181145
31.387795647402,0.18613
31.404470017732,0.172804
31.414483069881,0.162818
31.500634534752,0.188969
31.506257033804,0.174591
31.50946028333,0.167795
31.559487778574,0.187822
31.608585997818,0.16692
31.671391014627,0.209725
31.736566286637,0.244901
31.745340509947,0.243675
31.755298733257,0.233633
31.759314179876,0.227649
31.813041617223,0.231376
31.817552617223,0.225887
31.819882827829,0.218217
31.900482559466,0.268817
31.921203550303,0.259538
32.156911100196,0.355246
32.161142622453,0.349477
32.175712970624,0.344047
32.17946114471,0.337796
32.181774318796,0.330109
32.206485121847,0.34482
32.207636284287,0.335971
32.264685233556,0.36302
32.286709293053,0.305044
32.287247903267,0.00558236
32.295949370632,0.364284
32.304700991335,0.363035
32.307445142153,0.35578
32.309339292971,0.337674
32.319396814942,0.0277313
32.320043439476,0.0183779
32.323645140089,0.0119796
32.33600359841,0.0143381
32.341506572092,0.00984102
32.356660140089,0.0149946
32.364014900386,0.342349
32.367428140086,0.00576259
32.367675202022,0.33601
32.36912435284,0.0174588
32.376644330471,0.00497878
32.389724907104,0.318059
32.393423559372,0.351758
32.40826799155,0.00660244
32.418832273947,0.00716673
32.435516584724,0.053851
32.44402466725,0.0123591
32.449523869555,0.287858
32.454005170137,0.0123396
32.46509997246,0.383434
32.467436809297,0.00577126
32.481970388779,0.390305
32.482554527553,0.380889
32.513437613905,0.121772
32.514706740907,0.393041
32.515004654188,0.0333391
32.553373592236,0.051708
32.558886657042,0.0472211
32.563056121908,0.421391
32.564287580544,0.032622
32.577930756914,0.126265
32.580126010918,0.40846
32.580862876271,0.339197
32.58274913792,0.391084
32.589082058372,0.0474165
32.591888710958,0.0402232
32.592481363544,0.0308158
32.597433337371,0.0257678
32.602788007149,0.0211225
32.610463790405,0.0187982
32.616729239829,0.0150637
32.619728859671,0.358063
32.620971604785,0.00930606
32.629174372104,0.00750882
32.645736340126,0.374071
32.666140454171,0.0344749
32.684456681201,0.0427911
32.685832347369,0.0341668
32.710780730482,0.0491152
32.711355409932,0.0396899
32.736264707625,0.0545992
32.742125623759,0.0504601
32.743834310953,0.0421688
32.745676227087,0.0340107
32.780631632075,0.0489661
32.784179227659,0.0425137
32.788763059926,0.0370975
32.789490739376,0.0278252
32.795036929509,0.0233714
32.801806783166,0.0201412
32.804806732738,0.0131412
32.811162676754,0.00949713
32.816639398372,0.00497385
32.826077398373,0.00441185
32.840836657564,0.00917111
32.865904284997,0.0242387
32.869453229013,0.0177877
32.879819565512,0.018154
32.908222066674,0.0365565
32.92441977928,0.0427542
32.968451578625,0.056786
32.969737283749,0.0480717
32.971031988873,0.0393664
32.995412815386,0.0437473
32.99618552051,0.03452
33.018522117807,0.0368566
33.068615826524,0.0669503
33.071113544038,0.059448
33.071679261552,0.0500137
33.08193270215,0.0502672
33.089053261722,0.0473877
33.131325847314,0.0596603
33.133804117709,0.0521386
33.136801437083,0.0451359
33.139599166689,0.0379336
33.144790387259,0.0331248
33.146238116865,0.0245726
33.149529141355,0.0178636
33.159128142198,0.0174626
33.165742807453,0.0140773
33.171891902015,0.0102264
33.200279758061,0.0186142
33.207168556877,0.015503
33.236045879459,0.0243803
33.245922671116,0.0242571
33.247116721372,0.0154512
33.266920391235,0.0252548
33.274640498907,0.022975
33.282867908273,0.0212024
33.284980958529,0.0133154
33.296042612269,0.0143771
33.297992662525,0.00632711
33.319461215958,0.0177957
33.353993366707,0.0423278
33.357276442145,0.0356109
