X,frankfurt_urban_n_vehicles_mipv6.MA[6].tcpApp[0]/endToEndDelay:vector
43.877324512778,1.19059
44.828910198601,0.851586
45.67768158443,0.748771
46.649497505265,0.871816
47.572963318492,0.823466
48.919720125021,1.24676
50.192912630425,1.17319
51.707669104686,1.41476
53.127323735502,1.31965
55.492145124739,2.26482
57.012071209512,1.41993
58.902360286311,1.79029
61.558816770723,2.55646
63.013017155495,1.3542
64.84652341801,1.73351
66.405602924896,1.45908
68.220209654738,1.71461
71.532370131369,3.21216
72.823788192875,1.19142
75.642404970147,2.71862
77.287144094993,1.54474
79.206665279285,1.81952
80.850783483758,1.54412
82.670237205729,1.71945
83.823127279736,1.05289
84.617645823503,0.694519
86.612922877683,1.89528
88.201262473057,1.48834
90.903669977642,2.60241
93.785805359926,2.78214
97.221351965512,3.33555
107.201511160327,9.88016
108.403066469176,1.10156
109.501321608919,0.998255
110.58118442021,0.979863
111.660801373785,0.979617
112.75400824499,0.993207
113.836243898853,0.982236
114.915988854604,0.979745
115.985521654809,0.969533
117.049714474254,0.964193
118.117909934462,0.968195
119.181891843007,0.963982
120.243973791702,0.962082
121.310440445269,0.966467
122.37355611988,0.963116
123.436182804684,0.962627
124.498152393802,0.96197
125.558235078034,0.960083
126.621828702485,0.963594
127.682265300748,0.960437
128.742587514857,0.960322
129.806099544248,0.963512
130.866667761027,0.960568
131.928234441197,0.961567
132.991012631462,0.962778
134.052280568128,0.961268
135.113439550259,0.961159
136.172921987918,0.959482
137.23966763994,0.966746
138.299362024442,0.959694
139.36083178735,0.96147
140.425345639626,0.964514
141.48667810995,0.961332
142.548759765607,0.962082
143.609369690462,0.96061
144.671498533684,0.962129
145.734062222082,0.962564
146.795459158455,0.961397
147.858119918309,0.962661
148.918798239922,0.960678
149.978929038904,0.960131
151.039270937824,0.960342
152.098849817761,0.959579
153.159704476637,0.960855
154.224720574907,0.965016
155.287705328076,0.962985
156.35523578427,0.96753
157.419541203565,0.964305
158.484739519289,0.965198
159.568980150903,0.984241
160.649931780812,0.980952
161.728344516714,0.978413
162.808854460752,0.98051
163.904162358869,0.995308
164.996345483584,0.992183
166.095501567341,0.999156
167.232707660947,1.03721
168.376707305519,1.044
169.541090374505,1.06438
170.667685880829,1.0266
171.867551602631,1.09987
173.402681390188,1.43513
174.536019510749,1.03334
176.422396729605,1.78638
177.692457338433,1.17006
178.925866410782,1.13341
180.476416009787,1.45055
182.212714941815,1.6363
185.266842364881,2.95413
207.158880324539,21.792
208.316309765998,1.05743
209.385576438633,0.969267
210.45222690529,0.96665
211.517709398582,0.965482
212.580860852717,0.963151
213.643125434353,0.962265
214.705332624235,0.962207
215.767325890249,0.961993
216.830357025861,0.963031
217.892509546095,0.962153
218.954523310869,0.962014
220.018942195525,0.964419
221.077755518774,0.958813
222.137240770633,0.959485
223.199995552959,0.962755
224.265185241566,0.96519
225.329672512913,0.964487
226.394960704686,0.965288
227.454605498934,0.959645
228.519945592041,0.96534
229.58496149287,0.965016
230.646147777673,0.961186
231.713813458763,0.967666
232.773600949386,0.959787
233.842356465038,0.968756
234.908467145898,0.966111
235.976709230798,0.968242
237.058523022092,0.981814
238.124520128387,0.965997
239.196058839127,0.971539
240.271871396833,0.975813
241.367820956569,0.99595
242.46583991965,0.998019
243.566865895098,1.00103
244.702534418841,1.03567
245.945335010788,1.1428
247.182236271792,1.1369
248.424383338761,1.14215
249.759283817253,1.2349
252.286661549296,2.42738
321.77083711313,69.3842
322.976522482728,1.10569
324.043068377051,0.966546
325.146025956058,1.00296
326.264615936411,1.01859
327.482537695082,1.11792
328.886478865794,1.30394
331.574797218601,2.58832
342.63786880084,10.9631
343.749786682136,1.01192
344.830983499937,0.981197
345.902390339367,0.971407
346.965194796586,0.962804
348.03996094905,0.974766
349.137673996772,0.997713
350.214716109619,0.977042
351.279316093018,0.9646
352.356652685102,0.977337
353.425749174664,0.969096
354.490380553162,0.964631
355.554764184474,0.964384
356.622931522387,0.968167
357.686444532934,0.963513
358.748092793703,0.961648
359.812622359157,0.96453
360.872308044211,0.959686
361.935525590689,0.963218
362.997084696273,0.961559
364.071626114765,0.974541
365.141870526851,0.970244
366.218058213749,0.976188
367.313455182658,0.995397
368.435064993556,1.02161
369.590803766897,1.05574
370.794807214955,1.104
372.061085114756,1.16628
373.669645674399,1.50856
