X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
225.243739284059,1
226.243739284059,2
228.243739284059,3
232.243739284059,4
240.243739284059,5
256.243739284059,6
288.243739284059,7
306.061486587089,1
307.061486587089,2
309.061486587089,3
313.061486587089,4
321.061486587089,5
337.061486587089,6
346.256874635669,1
347.256874635669,2
349.256874635669,3
353.256874635669,4
361.256874635669,5
377.256874635669,6
409.256874635669,7
409.771585034515,1
410.771585034515,2
412.771585034515,3
416.771585034515,4
424.771585034515,5
440.771585034515,6
