X,frankfurt_urban_n_vehicles_mipv6.MA[4].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
200.06462343835,1
201.06462343835,2
203.06462343835,3
207.06462343835,4
215.06462343835,5
231.06462343835,6
263.06462343835,7
295.06462343835,8
297.276127593907,1
298.276127593907,2
300.276127593907,3
304.276127593907,4
312.276127593907,5
328.276127593907,6
343.014497935091,1
344.014497935091,2
346.014497935091,3
350.014497935091,4
358.014497935091,5
374.014497935091,6
382.771558150651,1
383.771558150651,2
385.771558150651,3
389.771558150651,4
397.771558150651,5
404.348815354382,6
405.348815354382,7
406.014497935091,7
438.014497935091,8
