X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
193.049665273262,1
194.049665273262,2
196.049665273262,3
200.049665273262,4
208.049665273262,5
224.049665273262,6
256.049665273262,7
288.049665273262,8
299.657721239879,1
300.657721239879,2
302.657721239879,3
306.657721239879,4
314.657721239879,5
330.657721239879,6
339.389416571523,1
340.389416571523,2
342.389416571523,3
346.389416571523,4
354.389416571523,5
370.389416571523,6
