X,frankfurt_urban_n_vehicles.MA[2].tcpApp[0]/endToEndDelay:vector
201.57145929994,17.1236
202.390990356879,0.719531
203.140445845413,0.649455
203.898289636627,0.657844
204.660137980859,0.661848
205.424818513927,0.664681
206.18935845253,0.66454
206.954468353483,0.66511
207.719096445873,0.664628
208.478047669535,0.658951
209.241393418103,0.663346
210.00721007698,0.665817
210.775706990384,0.668497
211.542211576174,0.666505
212.305935600485,0.663724
213.068847453128,0.662912
213.836190030037,0.667343
214.599651461261,0.663461
215.365591733376,0.66594
216.130540254146,0.664949
216.89337775637,0.662838
217.657728234742,0.66435
218.421750657388,0.664022
219.188185773334,0.666435
219.951545040217,0.663359
220.712989737222,0.661445
221.478676285281,0.665687
222.241004302059,0.662328
222.996388507194,0.655384
223.760742071824,0.664354
224.523890642411,0.663149
225.287807662141,0.663917
226.053220592567,0.665413
226.821620082236,0.668399
227.584473219807,0.662853
228.348979511142,0.664506
229.113815213763,0.664836
229.883241703319,0.669426
230.648234770312,0.664993
231.412927161927,0.664692
232.175633087393,0.662706
232.944450943766,0.668818
233.713207763006,0.668757
234.492086312235,0.678879
235.260873129588,0.668787
236.033973897918,0.673101
236.808942773861,0.674969
237.586903988696,0.677961
238.375215882709,0.688312
239.152934758825,0.677719
239.950823755633,0.697889
240.747138795787,0.696315
241.516504340466,0.669366
242.331672672745,0.715168
243.135875291514,0.704203
243.967851465566,0.731976
244.865145092424,0.797294
245.730893313194,0.765748
246.852305826522,1.02141
249.418137689925,2.46583
251.618347216669,2.10021
319.539431569292,67.8211
320.322936307336,0.683505
321.09125052274,0.668314
321.86876342013,0.677513
322.701164230917,0.732401
323.56690988238,0.765746
324.499574195295,0.832664
325.416499184063,0.816925
326.51687267864,1.00037
327.67106636659,1.05419
328.739791121715,0.968725
330.219951334678,1.38016
347.2869833127,16.967
348.072339387421,0.685356
348.842501868289,0.670162
349.601783970417,0.659282
350.358007121032,0.656223
351.107396581841,0.649389
351.859124595134,0.651728
352.662400200842,0.703276
353.452252830773,0.689853
354.221274201159,0.669021
355.022380959443,0.701107
355.803821523974,0.681441
356.584746306722,0.680925
357.369487761021,0.684741
358.157314551189,0.687827
358.942956547958,0.685642
359.721740615764,0.678784
360.519930515651,0.69819
361.325832559058,0.705902
362.12230383423,0.696471
366.350562406542,4.12826
367.448124199477,0.997562
368.570871836128,1.02275
369.993560785403,1.32269
405.193903341255,35.1003
406.7474909104,1.45359
407.672411563733,0.824921
408.599646830572,0.827235
409.523056798346,0.82341
410.44521184364,0.822155
411.378954392256,0.833743
412.311118406859,0.832164
413.236706363133,0.825588
414.162885009316,0.826179
415.105609748718,0.842725
416.057657523418,0.852048
417.002660321369,0.845003
417.962907835528,0.860248
418.934391245844,0.871483
419.928838118386,0.894447
420.947951823796,0.919114
421.998478733566,0.950527
423.029821184793,0.931342
424.315610681617,1.18579
425.479259013048,1.06365
426.83233003383,1.25307
