X,frankfurt_urban_n_vehicles.MA[2].tcp/rcvd seq
201.741985898279,4.61691e+07
201.743438750143,4.61696e+07
201.744484676075,4.61702e+07
201.745467602007,4.61707e+07
201.746378527939,4.61713e+07
201.746964453871,4.61718e+07
201.747857379803,4.61723e+07
201.748371305735,4.61729e+07
201.811337951363,4.61734e+07
201.812410877283,4.61739e+07
201.813086803203,4.61745e+07
201.813997729123,4.6175e+07
201.815504580963,4.61755e+07
201.816631506883,4.61761e+07
201.818618432803,4.61766e+07
201.819475358723,4.61772e+07
201.821612128187,4.61777e+07
201.824244835314,4.61782e+07
201.880304914901,4.61788e+07
201.882008766741,4.61793e+07
201.883279692661,4.61798e+07
201.883901618581,4.61804e+07
201.885444470421,4.61809e+07
201.886601459202,4.61814e+07
201.887205385122,4.6182e+07
201.888260311042,4.61825e+07
201.889297236962,4.6183e+07
201.891142694608,4.61836e+07
201.894532331193,4.61841e+07
201.949190878433,4.61847e+07
201.951101730273,4.61852e+07
201.952951003585,4.61857e+07
201.954041929493,4.61863e+07
201.955853855401,4.61868e+07
201.956484781309,4.61873e+07
201.957377707217,4.61879e+07
201.957918633125,4.61884e+07
201.959335484941,4.61889e+07
201.959849410849,4.61895e+07
201.960336336757,4.619e+07
201.963517294725,4.61906e+07
202.023752328364,4.61911e+07
202.025133083062,4.61916e+07
202.026215008958,4.61922e+07
202.027676958065,4.61927e+07
202.028722883961,4.61932e+07
202.029777809857,4.61938e+07
202.030868735753,4.61943e+07
202.031815661649,4.61948e+07
202.032392587545,4.61954e+07
202.033438513441,4.61959e+07
202.034403439337,4.61964e+07
202.035539365233,4.6197e+07
202.036062291129,4.61975e+07
202.095217581406,4.61981e+07
202.097139359315,4.61986e+07
202.098564211328,4.61991e+07
202.101560915118,4.61997e+07
202.102696841004,4.62002e+07
202.10381476689,4.62007e+07
202.104373692776,4.62013e+07
202.105455618662,4.62018e+07
202.106594544548,4.62023e+07
202.107252470434,4.62029e+07
202.108732322206,4.62034e+07
202.109219248092,4.6204e+07
202.110717099864,4.62045e+07
202.112232951636,4.6205e+07
202.164725568126,4.62056e+07
202.167992198048,4.62061e+07
202.169561941517,4.62066e+07
202.170778878622,4.62072e+07
202.172130804508,4.62077e+07
202.17363765628,4.62082e+07
202.177598654731,4.62088e+07
202.178626580617,4.62093e+07
202.179320506503,4.62098e+07
202.180719358275,4.62104e+07
202.181747284161,4.62109e+07
202.182252210047,4.62115e+07
202.182775135933,4.6212e+07
202.183902061819,4.62125e+07
202.233818531626,4.62131e+07
202.236905161548,4.62136e+07
202.240050830903,4.62141e+07
202.241240756781,4.62147e+07
202.243070682659,4.62152e+07
202.243575608537,4.62157e+07
202.246493618231,4.62163e+07
202.248251873442,4.62168e+07
202.24935179932,4.62174e+07
202.251365725198,4.62179e+07
202.251960651076,4.62184e+07
202.252923025319,4.6219e+07
202.253905951197,4.62195e+07
202.255005877075,4.622e+07
202.302803495118,4.62206e+07
202.30595312504,4.62211e+07
202.309432740657,4.62216e+07
202.310712666527,4.62222e+07
202.312524572029,4.62227e+07
202.313525497899,4.62232e+07
202.315487581723,4.62238e+07
202.3171917546,4.62243e+07
202.319331762812,4.62249e+07
202.320927614568,4.62254e+07
202.321944114517,4.62259e+07
202.322962914689,4.62265e+07
202.323945840567,4.6227e+07
202.324540766437,4.62275e+07
202.371877447387,4.62281e+07
202.374884088528,4.62286e+07
202.378596692926,4.62291e+07
202.379859578869,4.62297e+07
202.381527482301,4.62302e+07
202.382555461387,4.62308e+07
202.384643545211,4.62313e+07
202.386555396951,4.62318e+07
202.3883797263,4.62324e+07
202.389885578056,4.62329e+07
202.390990356879,4.62334e+07
202.561185448795,4.62339e+07
202.561825374651,4.62339e+07
202.562952300507,4.62345e+07
202.564016226363,4.6235e+07
202.564530152219,4.62356e+07
202.565974003931,4.62361e+07
202.566532929787,4.62366e+07
202.568057781499,4.62372e+07
202.568751707355,4.62377e+07
202.569842633211,4.62382e+07
202.570744559067,4.62388e+07
202.571294484923,4.62393e+07
202.572430410779,4.62398e+07
202.572935336635,4.62404e+07
202.574543262491,4.62409e+07
202.630792338122,4.62414e+07
202.632056281835,4.6242e+07
202.63347911569,4.62425e+07
202.63399304154,4.62431e+07
202.635531746491,4.62436e+07
202.636613672341,4.62441e+07
202.637647056419,4.62447e+07
202.638971982269,4.62452e+07
202.640279448394,4.62457e+07
202.641830300106,4.62463e+07
202.651475863197,4.62468e+07
202.654538319685,4.62473e+07
202.656559089085,4.62479e+07
202.657561858485,4.62484e+07
202.700000166872,4.6249e+07
202.7010412453,4.62495e+07
202.702969005005,4.625e+07
202.703590930849,4.62506e+07
202.704606709956,4.62511e+07
202.7058686358,4.62516e+07
202.708225487488,4.62522e+07
202.709307413332,4.62527e+07
202.710362339176,4.62532e+07
202.71094826502,4.62538e+07
202.720370826662,4.62543e+07
202.723463442988,4.62548e+07
202.725599997973,4.62554e+07
202.726825923817,4.62559e+07
202.779685825037,4.62565e+07
202.780298750881,4.6257e+07
202.781281676725,4.62575e+07
202.782273602569,4.62581e+07
202.783717454257,4.62586e+07
202.784736380101,4.62591e+07
202.787164305945,4.62597e+07
202.787849231789,4.62602e+07
202.789356083477,4.62607e+07
202.790050009321,4.62613e+07
202.792683689805,4.62618e+07
202.793251615649,4.62624e+07
202.794866467337,4.62629e+07
202.79580987606,4.62634e+07
202.849742378515,4.6264e+07
202.850292304353,4.62645e+07
202.852487156029,4.6265e+07
202.853479081867,4.62656e+07
202.854615007705,4.62661e+07
202.855597933543,4.62666e+07
202.857248785219,4.62672e+07
202.857744711057,4.62677e+07
202.859530562733,4.62682e+07
202.860477488571,4.62688e+07
202.862444169041,4.62693e+07
202.863526094879,4.62699e+07
202.865095946555,4.62704e+07
202.866123872393,4.62709e+07
202.920426193644,4.62715e+07
202.921499119482,4.6272e+07
202.92261704532,4.62725e+07
202.923932971152,4.62731e+07
202.924861896984,4.62736e+07
202.925384822816,4.62741e+07
202.92708067448,4.62747e+07
202.928198600312,4.62752e+07
202.929145526144,4.62758e+07
202.930410206656,4.62763e+07
202.931420132494,4.62768e+07
202.93311598417,4.62774e+07
202.934233910002,4.62779e+07
202.935495835834,4.62784e+07
202.99034186696,4.6279e+07
202.991459792792,4.62795e+07
202.991973718624,4.628e+07
202.993525570288,4.62806e+07
202.99477849612,4.62811e+07
202.995833421952,4.62816e+07
202.997307347784,4.62822e+07
202.999060273616,4.62827e+07
203.000052199448,4.62833e+07
203.000548125276,4.62838e+07
203.001071051104,4.62843e+07
203.002190947618,4.62849e+07
203.004847725102,4.62854e+07
203.00592065093,4.62859e+07
203.059254830408,4.62865e+07
203.060886682072,4.6287e+07
203.0620136079,4.62875e+07
203.063122533728,4.62881e+07
203.064123459556,4.62886e+07
203.0652373854,4.62892e+07
203.066914841832,4.62897e+07
203.068000237064,4.62902e+07
203.070419781743,4.62908e+07
203.071447707571,4.62913e+07
203.072565633399,4.62918e+07
203.073683559227,4.62924e+07
203.074783485055,4.62929e+07
203.075847410883,4.62934e+07
203.128266793852,4.6294e+07
203.129952645516,4.62945e+07
203.13099857134,4.6295e+07
203.132094654506,4.62956e+07
203.13318558033,4.62961e+07
203.134231550285,4.62967e+07
203.135899805276,4.62972e+07
203.137039200508,4.62977e+07
203.139467745187,4.62983e+07
203.140445845413,4.62988e+07
203.309128531578,4.62993e+07
203.309669457396,4.62993e+07
203.310165383214,4.62998e+07
203.311184309032,4.63004e+07
203.31223923485,4.63009e+07
203.313964160668,4.63015e+07
203.314433086486,4.6302e+07
203.315515012304,4.63025e+07
203.31693186394,4.63031e+07
203.318031789758,4.63036e+07
203.319113715576,4.63041e+07
203.319627641394,4.63047e+07
203.32110749303,4.63052e+07
203.322054418848,4.63057e+07
203.323579270484,4.63063e+07
203.37906034665,4.63068e+07
203.380169272468,4.63074e+07
203.381260198286,4.63079e+07
203.383472049922,4.63084e+07
203.38443697574,4.6309e+07
203.384986901558,4.63095e+07
203.386295753194,4.631e+07
203.388579679012,4.63106e+07
203.38967960483,4.63111e+07
203.390797530648,4.63116e+07
203.393747456466,4.63122e+07
203.394279382284,4.63127e+07
203.395298308102,4.63132e+07
203.396769159738,4.63138e+07
203.448144310084,4.63143e+07
203.449262235898,4.63149e+07
203.45042516172,4.63154e+07
203.452403013356,4.63159e+07
203.453917864992,4.63165e+07
203.454494790806,4.6317e+07
203.456001642434,4.63175e+07
203.457681642446,4.63181e+07
203.45889856826,4.63186e+07
203.459989494074,4.63191e+07
203.463318345718,4.63197e+07
203.464256271536,4.63202e+07
203.46490519735,4.63208e+07
203.466005123164,4.63213e+07
203.52916196478,4.63218e+07
203.529657890592,4.63224e+07
203.531083656921,4.63229e+07
203.532039582733,4.63234e+07
203.533564434357,4.6324e+07
203.534033360169,4.63245e+07
203.536037137605,4.6325e+07
203.537164063417,4.63256e+07
203.538191989229,4.63261e+07
203.539653840853,4.63266e+07
203.540257766665,4.63272e+07
203.541258692477,4.63277e+07
203.542358618289,4.63283e+07
203.543784469913,4.63288e+07
203.603003174643,4.63293e+07
203.604428929241,4.63299e+07
203.604987855049,4.63304e+07
203.605636780857,4.63309e+07
203.607361558281,4.63315e+07
203.607947484089,4.6332e+07
203.609011409897,4.63325e+07
203.609498335705,4.63331e+07
203.609985261513,4.63336e+07
203.610562187321,4.63342e+07
203.611040113129,4.63347e+07
203.612041038937,4.63352e+07
203.612608964745,4.63358e+07
203.613095890553,4.63363e+07
203.672175398217,4.63368e+07
203.674534802004,4.63374e+07
203.675048727812,4.63379e+07
203.67604065362,4.63384e+07
203.678169505236,4.6339e+07
203.679953076555,4.63395e+07
203.682011518979,4.634e+07
203.683093444787,4.63406e+07
203.683679370595,4.63411e+07
203.686160148345,4.63417e+07
203.687287074153,4.63422e+07
203.688896828751,4.63427e+07
203.690385583349,4.63433e+07
203.690989509157,4.63438e+07
203.741976204844,4.63443e+07
203.743997691237,4.63449e+07
203.745079617045,4.63454e+07
203.746170542851,4.63459e+07
203.747378468657,4.63465e+07
203.74883903998,4.6347e+07
203.750969482404,4.63476e+07
203.75260133402,4.63481e+07
203.753854259826,4.63486e+07
203.756436166015,4.63492e+07
203.756932091821,4.63497e+07
203.757897017627,4.63502e+07
203.759929472582,4.63508e+07
203.760465085385,4.63513e+07
203.811141168267,4.63518e+07
203.81295565466,4.63524e+07
203.814181580464,4.63529e+07
203.815389506268,4.63534e+07
203.816642432072,4.6354e+07
203.817914003403,4.63545e+07
203.820377157115,4.63551e+07
203.821792591815,4.63556e+07
203.822875223249,4.63561e+07
203.825872055244,4.63567e+07
203.82679198105,4.63572e+07
203.827396906856,4.63577e+07
203.829477048808,4.63583e+07
203.830522974612,4.63588e+07
203.889072378587,4.63593e+07
203.890064304391,4.63599e+07
203.891191230195,4.63604e+07
203.891894155999,4.6361e+07
203.893927007607,4.63615e+07
203.894404933411,4.6362e+07
203.895324859215,4.63626e+07
203.895847785019,4.63631e+07
203.897229710823,4.63636e+07
203.898289636627,4.63642e+07
204.067474242599,4.63647e+07
