X,frankfurt_urban_n_vehicles_multi_radio.MA[0].udpApp[0]/endToEndDelay:vector
30.751575495767,0.00353539
30.761480958588,0.00344085
30.771066958588,0.00302685
30.781048958588,0.00300885
30.790422958588,0.00238285
30.800422967575,0.00238286
30.810422967575,0.00238286
30.820422967575,0.00238286
30.831129967575,0.00308986
30.841399967575,0.00335986
30.851534967575,0.00349486
30.861354967575,0.00331486
30.874244967575,0.00620486
30.880422967575,0.00238286
30.892043967575,0.00400386
30.900422976579,0.00238287
30.910422976579,0.00238287
30.921210976579,0.00317087
30.931174976579,0.00313487
30.940422976579,0.00238287
30.950422976579,0.00238287
30.960422976579,0.00238287
30.975266976579,0.00722687
30.980422976579,0.00238287
30.990422976579,0.00238287
31.000422985588,0.00238288
31.010422985588,0.00238288
31.020422985588,0.00238288
31.030422985588,0.00238288
31.041066985588,0.00302688
31.055612985588,0.00757288
31.060422985588,0.00238288
31.070422985588,0.00238288
31.080422985588,0.00238288
31.090422985588,0.00238288
31.100695937947,0.00265583
31.111890994454,0.00385089
31.120422994454,0.00238289
31.130422994454,0.00238289
31.141318994454,0.00327889
31.150422994454,0.00238289
31.160422994454,0.00238289
31.171444994454,0.00340489
31.180422994454,0.00238289
31.190422994454,0.00238289
31.207040003177,0.0089999
31.212278003177,0.0042379
31.220423003177,0.0023829
31.231004003177,0.0029639
31.244637003177,0.0065969
31.250423003177,0.0023829
31.260423003177,0.0023829
31.270423003177,0.0023829
31.281238003177,0.0031979
31.292161003177,0.0041209
31.300423011758,0.00238291
31.310423011758,0.00238291
31.320423011758,0.00238291
31.333831011758,0.00579091
31.340423011758,0.00238291
31.350423011758,0.00238291
31.362416694783,0.00437659
31.372548011758,0.00450791
31.380423011758,0.00238291
31.391517011758,0.00347691
31.401103020195,0.00306292
31.410423020195,0.00238292
31.422656020195,0.00461592
31.431427020195,0.00338692
31.441193020195,0.00315292
31.473535020195,0.0154949
31.475785518017,0.00774541
31.496420015839,0.0183799
31.498647513661,0.0106074
31.500744019777,0.00270391
31.511013028489,0.00297292
31.520423028489,0.00238292
31.530423028489,0.00238292
31.541346028489,0.00330592
31.550423028489,0.00238292
31.561220028489,0.00317992
31.570423028489,0.00238292
31.580423028489,0.00238292
31.591130028489,0.00308992
31.600423036639,0.00238293
31.610423036639,0.00238293
31.621148036639,0.00310793
31.633043036639,0.00500293
31.640423036639,0.00238293
31.650423036639,0.00238293
31.669308036639,0.0112679
31.671044567349,0.00300446
31.696844036639,0.00880393
31.700995044645,0.00295494
31.710423044645,0.00238294
31.721436044645,0.00339594
31.730423044645,0.00238294
31.740423044645,0.00238294
31.751499044645,0.00345894
31.767360044645,0.00931994
31.776980591367,0.00894049
31.783444044645,0.00540394
31.790423044645,0.00238294
31.800423052507,0.00238295
31.814065052507,0.00602495
31.820423052507,0.00238295
31.830423052507,0.00238295
31.850155052507,0.0121149
31.851936614953,0.00389651
31.860423052507,0.00238295
31.870423052507,0.00238295
31.883471052507,0.00543095
31.891067052507,0.00302695
31.900995060225,0.00295496
31.918705060225,0.010665
31.920423060225,0.00238296
31.930423060225,0.00238296
31.944173060225,0.00613296
31.951094060225,0.00305396
31.961954060225,0.00391396
31.971013060225,0.00297296
31.980423060225,0.00238296
31.990423060225,0.00238296
32.000423067798,0.00238296
32.012575067798,0.00453496
32.02043542839,0.00239532
32.030423067798,0.00238296
32.048462067798,0.010422
32.051157067798,0.00311696
32.060423067798,0.00238296
32.071211067798,0.00317096
32.080423067798,0.00238296
32.090423067798,0.00238296
32.100423075227,0.00238297
32.112170075227,0.00412997
32.121238075227,0.00319797
32.143642075227,0.015602
32.145014683113,0.00697458
32.152458075227,0.00441797
32.160423075227,0.00238297
32.170423075227,0.00238297
32.182251075227,0.00421097
32.197733075227,0.00969297
32.201463082511,0.00342298
32.211517082511,0.00347698
32.229277082511,0.011237
32.231265082511,0.00322498
32.241490082511,0.00344998
32.256824082511,0.00878398
32.263930082511,0.00588998
32.270423082511,0.00238298
32.280418484702,0.00237838
32.306271089721,0.00823098
32.310423089721,0.00238298
32.321076089721,0.00303598
32.330423089721,0.00238298
32.341310089721,0.00326998
32.361278726595,0.0132386
32.363204363469,0.00516426
32.378711065658,0.010671
32.381535089721,0.00349498
32.390423089721,0.00238298
32.400423096814,0.00238299
32.410423096814,0.00238299
32.420423096814,0.00238299
32.432395096814,0.00435499
32.441319096814,0.00327899
32.450423096814,0.00238299
32.464137096814,0.00609699
32.470423096814,0.00238299
32.481382096814,0.00334199
32.490423096814,0.00238299
32.502899103758,0.004859
32.510968103758,0.002928
32.520423103758,0.002383
32.532593103758,0.004553
32.542008103758,0.003968
32.551310103758,0.00327
32.565114103758,0.007074
32.582661103758,0.014621
32.588129768706,0.0100897
32.591490103758,0.00345
32.600423110554,0.00238301
32.612296110554,0.00425601
32.644345110554,0.016305
32.647936789094,0.00989668
32.654225467634,0.00618536
32.660423110554,0.00238301
32.670423110554,0.00238301
32.680423110554,0.00238301
32.690423110554,0.00238301
32.716986117202,0.018946
32.718913117202,0.010873
32.723093117202,0.00505301
32.731846117202,0.00380601
32.741067117202,0.00302701
32.754596117202,0.00655601
32.761837117202,0.00379701
32.770423117202,0.00238301
32.782251117202,0.00421101
32.790423117202,0.00238301
32.801382123702,0.00334202
32.811828123702,0.00378802
32.820423123702,0.00238302
32.836761123702,0.00872102
32.842161123702,0.00412102
32.850423123702,0.00238302
32.861954123702,0.00391402
32.871211123702,0.00317102
32.881882123702,0.00384202
32.891229123702,0.00318902
32.909551130053,0.011511
32.911602847591,0.00356274
32.940772130053,0.012732
32.944201847591,0.00616174
32.950423130053,0.00238303
32.961721835339,0.00368173
32.973930130053,0.00589003
33.017566407642,0.0395263
33.018227137586,0.030187
33.02014486753,0.0221048
33.026738597474,0.0186985
33.027417327418,0.00937722
33.031256136256,0.00321603
33.042845136256,0.00480503
33.050423136256,0.00238303
33.070321136256,0.012281
33.0727378662,0.00469776
33.081319136256,0.00327903
33.092143136256,0.00410303
33.10042314231,0.00238304
33.11303414231,0.00499404
33.12234114231,0.00430104
33.13234114231,0.00430104
33.15840814231,0.020368
33.162179184442,0.0141391
33.164396226574,0.00635612
33.17042314231,0.00238304
33.18333614231,0.00529604
33.19116614231,0.00312604
33.203043148216,0.00500304
33.215447148216,0.00740704
33.220423148216,0.00238304
33.235969148216,0.00792904
33.243450973651,0.00541087
33.250423148216,0.00238304
33.263291148216,0.00525104
33.275096148216,0.00705604
33.28661421611,0.00857411
33.290423148216,0.00238304
33.314529154208,0.016489
33.31692624782,0.00888614
33.343986481972,0.0159464
33.357649575584,0.0196095
33.364071669196,0.0160316
33.369908762808,0.0118687
33.392129528656,0.0240894
33.393693622268,0.0156535
33.39609971588,0.00805961
33.402723829103,0.00468372
33.416437160287,0.00839706
33.423633160287,0.00559306
33.430423160287,0.00238306
33.445838160287,0.00779806
33.451337160287,0.00329706
33.461711160287,0.00367106
33.470423160287,0.00238306
33.505828520893,0.0177884
33.510441665545,0.0124016
