X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
202.708571529353,1
203.708571529353,2
205.708571529353,3
209.708571529353,4
217.708571529353,5
233.708571529353,6
265.708571529353,7
297.708571529353,8
302.183531404921,1
303.183531404921,2
305.183531404921,3
309.183531404921,4
317.183531404921,5
333.183531404921,6
341.137704446846,1
342.137704446846,2
344.137704446846,3
348.137704446846,4
356.137704446846,5
372.137704446846,6
400.584466269386,1
401.584466269386,2
