X,frankfurt_urban_n_vehicles_multi_radio.MA[1].idLayer/sequenceUpdateDa:vector
2.7,0
35.73101897492,1
35.74101897492,2
35.75101897492,3
35.76101897492,4
35.77101897492,5
35.78101897492,6
35.79101897492,7
35.80101897492,8
35.81101897492,9
35.82101897492,10
35.83101897492,11
35.84101897492,12
35.85101897492,13
35.86101897492,14
35.87101897492,15
35.88101897492,16
35.89101897492,17
35.90101897492,18
35.91101897492,19
35.92101897492,20
35.93101897492,21
35.94101897492,22
35.95101897492,23
35.96101897492,24
35.97101897492,25
35.98101897492,26
35.99101897492,27
36.00101897492,28
36.01101897492,29
36.02101897492,30
36.03101897492,31
36.04101897492,32
36.05101897492,33
36.06101897492,34
36.07101897492,35
36.08101897492,36
36.09101897492,37
36.10101897492,38
36.11101897492,39
36.12101897492,40
36.13101897492,41
36.14101897492,42
36.15101897492,43
36.16101897492,44
36.17101897492,45
36.18101897492,46
36.19101897492,47
36.20101897492,48
36.21101897492,49
36.22101897492,50
36.23101897492,51
36.24101897492,52
36.25101897492,53
36.26101897492,54
36.27101897492,55
36.28101897492,56
36.29101897492,57
36.30101897492,58
36.31101897492,59
36.32101897492,60
36.33101897492,61
36.34101897492,62
36.35101897492,63
36.36101897492,64
36.37101897492,65
36.38101897492,66
36.39101897492,67
36.40101897492,68
36.41101897492,69
36.42101897492,70
36.43101897492,71
36.44101897492,72
36.45101897492,73
36.46101897492,74
36.47101897492,75
36.48101897492,76
36.49101897492,77
36.50101897492,78
36.51101897492,79
36.52101897492,80
36.53101897492,81
36.54101897492,82
36.55101897492,83
36.56101897492,84
36.57101897492,85
36.58101897492,86
36.59101897492,87
36.60101897492,88
36.61101897492,89
36.62101897492,90
36.63101897492,91
36.64101897492,92
36.65101897492,93
36.66101897492,94
36.67101897492,95
36.68101897492,96
36.69101897492,97
36.70101897492,98
36.71101897492,99
36.72101897492,100
36.73101897492,101
36.74101897492,102
56.69101897492,103
56.70101897492,104
56.71101897492,105
56.72101897492,106
56.73101897492,107
56.74101897492,108
56.75101897492,109
56.76101897492,110
56.77101897492,111
56.78101897492,112
56.79101897492,113
56.80101897492,114
56.81101897492,115
56.82101897492,116
56.83101897492,117
56.84101897492,118
56.85101897492,119
56.86101897492,120
56.87101897492,121
56.88101897492,122
56.89101897492,123
56.90101897492,124
56.91101897492,125
56.92101897492,126
56.93101897492,127
56.94101897492,128
56.95101897492,129
56.96101897492,130
56.97101897492,131
56.98101897492,132
56.99101897492,133
57.00101897492,134
57.01101897492,135
57.02101897492,136
57.03101897492,137
57.04101897492,138
57.05101897492,139
57.06101897492,140
57.07101897492,141
57.08101897492,142
57.09101897492,143
57.10101897492,144
57.11101897492,145
57.12101897492,146
57.13101897492,147
57.14101897492,148
57.15101897492,149
57.16101897492,150
57.17101897492,151
57.18101897492,152
57.19101897492,153
57.20101897492,154
57.21101897492,155
57.22101897492,156
57.23101897492,157
57.24101897492,158
57.25101897492,159
57.26101897492,160
57.27101897492,161
57.28101897492,162
57.29101897492,163
57.30101897492,164
57.31101897492,165
57.32101897492,166
57.33101897492,167
57.34101897492,168
57.35101897492,169
57.36101897492,170
57.37101897492,171
57.38101897492,172
57.39101897492,173
57.40101897492,174
57.41101897492,175
57.42101897492,176
57.43101897492,177
57.44101897492,178
57.45101897492,179
57.46101897492,180
57.47101897492,181
57.48101897492,182
57.49101897492,183
57.50101897492,184
57.51101897492,185
57.52101897492,186
57.53101897492,187
57.54101897492,188
57.55101897492,189
57.56101897492,190
57.57101897492,191
57.58101897492,192
57.59101897492,193
57.60101897492,194
57.61101897492,195
57.62101897492,196
57.63101897492,197
57.64101897492,198
57.65101897492,199
57.66101897492,200
57.67101897492,201
57.68101897492,202
57.69101897492,203
57.70101897492,204
57.71101897492,205
57.72101897492,206
57.73101897492,207
57.74101897492,208
57.75101897492,209
57.76101897492,210
57.77101897492,211
57.78101897492,212
57.79101897492,213
57.80101897492,214
57.81101897492,215
57.82101897492,216
57.83101897492,217
57.84101897492,218
57.85101897492,219
57.86101897492,220
57.87101897492,221
57.88101897492,222
57.89101897492,223
57.90101897492,224
57.91101897492,225
57.92101897492,226
57.93101897492,227
57.94101897492,228
57.95101897492,229
57.96101897492,230
57.97101897492,231
57.98101897492,232
57.99101897492,233
58.00101897492,234
58.01101897492,235
58.02101897492,236
58.03101897492,237
58.04101897492,238
58.05101897492,239
58.06101897492,240
58.07101897492,241
58.08101897492,242
58.09101897492,243
58.10101897492,244
58.11101897492,245
58.12101897492,246
58.13101897492,247
58.14101897492,248
58.15101897492,249
58.16101897492,250
58.17101897492,251
58.18101897492,252
58.19101897492,253
58.20101897492,254
58.21101897492,255
58.22101897492,256
58.23101897492,257
58.24101897492,258
58.25101897492,259
58.26101897492,260
58.27101897492,261
58.28101897492,262
58.29101897492,263
58.30101897492,264
58.31101897492,265
58.32101897492,266
58.33101897492,267
58.34101897492,268
58.35101897492,269
58.36101897492,270
58.37101897492,271
58.38101897492,272
58.39101897492,273
58.40101897492,274
58.41101897492,275
58.42101897492,276
58.43101897492,277
58.44101897492,278
58.45101897492,279
58.46101897492,280
58.47101897492,281
58.48101897492,282
58.49101897492,283
58.50101897492,284
58.51101897492,285
58.52101897492,286
58.53101897492,287
59.42101897492,288
