X,frankfurt_urban_n_vehicles_multi_radio.MA[3].idLayer/sequenceUpdateDa:vector
8.1,0
47.301446008728,1
47.311446008728,2
47.321446008728,3
47.331446008728,4
47.341446008728,5
47.351446008728,6
47.361446008728,7
47.371446008728,8
47.381446008728,9
47.391446008728,10
47.401446008728,11
47.411446008728,12
47.421446008728,13
47.431446008728,14
47.441446008728,15
47.451446008728,16
47.461446008728,17
47.471446008728,18
47.481446008728,19
47.491446008728,20
47.501446008728,21
47.511446008728,22
47.521446008728,23
47.531446008728,24
47.541446008728,25
47.551446008728,26
47.561446008728,27
47.571446008728,28
47.581446008728,29
47.591446008728,30
47.601446008728,31
47.611446008728,32
47.621446008728,33
47.631446008728,34
47.641446008728,35
47.651446008728,36
47.661446008728,37
47.671446008728,38
47.681446008728,39
47.691446008728,40
47.701446008728,41
47.711446008728,42
47.721446008728,43
47.731446008728,44
47.741446008728,45
47.751446008728,46
47.761446008728,47
47.771446008728,48
47.781446008728,49
47.791446008728,50
47.801446008728,51
47.811446008728,52
47.821446008728,53
47.831446008728,54
47.841446008728,55
47.851446008728,56
47.861446008728,57
47.871446008728,58
47.881446008728,59
47.891446008728,60
47.901446008728,61
47.911446008728,62
47.921446008728,63
47.931446008728,64
47.941446008728,65
47.951446008728,66
47.961446008728,67
47.971446008728,68
47.981446008728,69
47.991446008728,70
48.001446008728,71
48.011446008728,72
48.021446008728,73
48.031446008728,74
48.041446008728,75
48.051446008728,76
48.061446008728,77
48.071446008728,78
48.081446008728,79
48.091446008728,80
48.101446008728,81
48.111446008728,82
48.121446008728,83
48.131446008728,84
48.141446008728,85
48.151446008728,86
48.161446008728,87
48.171446008728,88
48.181446008728,89
48.191446008728,90
48.201446008728,91
48.211446008728,92
48.221446008728,93
48.231446008728,94
48.241446008728,95
48.251446008728,96
48.261446008728,97
48.271446008728,98
48.281446008728,99
48.291446008728,100
48.301446008728,101
48.311446008728,102
48.321446008728,103
48.331446008728,104
48.341446008728,105
48.351446008728,106
48.361446008728,107
48.371446008728,108
48.381446008728,109
48.391446008728,110
48.401446008728,111
48.411446008728,112
48.421446008728,113
48.431446008728,114
48.441446008728,115
48.451446008728,116
48.461446008728,117
48.471446008728,118
48.481446008728,119
48.491446008728,120
48.501446008728,121
48.511446008728,122
48.521446008728,123
48.531446008728,124
48.541446008728,125
48.551446008728,126
48.561446008728,127
48.571446008728,128
48.581446008728,129
48.591446008728,130
48.601446008728,131
48.611446008728,132
48.621446008728,133
48.631446008728,134
48.641446008728,135
48.651446008728,136
48.661446008728,137
48.671446008728,138
48.681446008728,139
48.691446008728,140
48.701446008728,141
48.711446008728,142
48.721446008728,143
48.731446008728,144
48.741446008728,145
48.751446008728,146
48.761446008728,147
48.771446008728,148
48.781446008728,149
48.791446008728,150
48.801446008728,151
