X,frankfurt_urban_n_vehicles_multi_radio.MA[0].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_multi_radio.MA[0].udpApp[0]/rcvdPk:vector(packetBytes)
30.299423523753,1032,1024
30.301005806724,1032,1024
30.309394981691,1032,1024
30.319394981691,1032,1024
30.331230981691,1032,1024
30.34109998169,1032,1024
30.368025719432,1032,1024
30.371063483904,1032,1024
30.373860775852,1032,1024
30.380321981691,1032,1024
30.390483981691,1032,1024
30.399394981691,1032,1024
30.411360999656,1032,1024
30.421707999657,1032,1024
30.431113999657,1032,1024
30.441256999655,1032,1024
30.449394999657,1032,1024
30.461117999656,1032,1024
30.470091999656,1032,1024
30.479394999657,1032,1024
30.489947999656,1032,1024
30.499394999657,1032,1024
30.509395017649,1032,1024
30.530950709539,1032,1024
30.531768037445,1032,1024
30.539395017649,1032,1024
30.556179345555,1032,1024
30.561041361868,1032,1024
30.569925097356,1032,1024
30.582448017646,1032,1024
30.594472981568,1032,1024
30.599754617584,1032,1024
30.610358035599,1032,1024
30.621010035598,1032,1024
30.635612035595,1032,1024
30.640920689561,1032,1024
30.650515035598,1032,1024
30.661023035597,1032,1024
30.669395035599,1032,1024
30.679395035599,1032,1024
30.689395035599,1032,1024
30.701738044575,1032,1024
30.710484053557,1032,1024
30.719395053557,1032,1024
30.733355053557,1032,1024
30.739395053557,1032,1024
30.749395053557,1032,1024
30.763401474594,1032,1024
30.770412053557,1032,1024
30.782548053554,1032,1024
30.794664053556,1032,1024
30.79994572548,1032,1024
30.811887071547,1032,1024
30.819395071549,1032,1024
30.829395071549,1032,1024
30.844012071549,1032,1024
30.849395071549,1032,1024
30.860830071548,1032,1024
30.870807071547,1032,1024
30.880191071548,1032,1024
30.896867763438,1032,1024
30.909699781419,1032,1024
30.910418181205,1032,1024
30.920335089528,1032,1024
30.930126540704,1032,1024
30.943826089526,1032,1024
30.952450089528,1032,1024
30.960947319598,1032,1024
30.970029089528,1032,1024
30.980434089528,1032,1024
30.990866089528,1032,1024
31.000317098544,1032,1024
31.01129810756,1032,1024
31.02040710756,1032,1024
31.029395107561,1032,1024
31.039395107561,1032,1024
31.049395107561,1032,1024
31.059395107561,1032,1024
31.07011910756,1032,1024
31.08039810756,1032,1024
31.09000210756,1032,1024
31.099395107561,1032,1024
31.114079125308,1032,1024
31.12164530455,1032,1024
31.130232125309,1032,1024
31.145506817199,1032,1024
31.150286125309,1032,1024
31.159395125309,1032,1024
31.170776125308,1032,1024
31.180011125308,1032,1024
31.194012125309,1032,1024
31.200953313282,1032,1024
31.209395142771,1032,1024
31.219395142771,1032,1024
31.23029914277,1032,1024
31.240867544671,1032,1024
31.252824142771,1032,1024
31.265551834661,1032,1024
31.269395142771,1032,1024
31.279395142771,1032,1024
31.289395142771,1032,1024
31.300187142771,1032,1024
31.310479159946,1032,1024
31.321797159945,1032,1024
31.329395159947,1032,1024
31.341730159946,1032,1024
31.351311159945,1032,1024
31.359395159947,1032,1024
31.371555159947,1032,1024
31.381393159947,1032,1024
31.390083159946,1032,1024
31.399395159947,1032,1024
31.410173176834,1032,1024
31.419395176835,1032,1024
31.429395176835,1032,1024
31.444655176834,1032,1024
31.450071972036,1032,1024
31.460489524726,1032,1024
31.48389617683,1032,1024
31.484713663922,1032,1024
31.491012459124,1032,1024
31.504021185136,1032,1024
31.511461500634,1032,1024
31.526270885327,1032,1024
31.529709193437,1032,1024
31.548388193432,1032,1024
31.550416193436,1032,1024
31.572120885327,1032,1024
31.575470885327,1032,1024
31.580689697131,1032,1024
31.590358193437,1032,1024
31.599548155385,1032,1024
31.609395209751,1032,1024
31.632455928604,1032,1024
31.633228448612,1032,1024
31.639395209751,1032,1024
31.649395209751,1032,1024
31.664344209749,1032,1024
31.672276037866,1032,1024
31.679395209751,1032,1024
31.69152320975,1032,1024
31.7232024537,1032,1024
31.726126917667,1032,1024
31.7407814537,1032,1024
31.741535989734,1032,1024
31.754600225774,1032,1024
31.769100605951,1032,1024
31.769892914061,1032,1024
31.781896225775,1032,1024
31.791149225775,1032,1024
31.800412233646,1032,1024
31.815326933405,1032,1024
31.821006241515,1032,1024
31.831107680755,1032,1024
31.841163241514,1032,1024
31.852729241514,1032,1024
31.859395241515,1032,1024
31.872088391594,1032,1024
31.880861241513,1032,1024
31.889957241514,1032,1024
31.901766249239,1032,1024
31.909395256965,1032,1024
31.921703256964,1032,1024
31.936876948854,1032,1024
31.945856948855,1032,1024
31.959042948855,1032,1024
31.961737516077,1032,1024
31.974546256962,1032,1024
31.980345132293,1032,1024
31.991042256965,1032,1024
32.009742203106,1032,1024
32.015383093598,1032,1024
32.026014964014,1032,1024
32.029984272124,1032,1024
32.040970272125,1032,1024
32.051620872944,1032,1024
32.061433272124,1032,1024
32.070425272124,1032,1024
32.081687854507,1032,1024
32.107575978885,1032,1024
32.111323854863,1032,1024
32.120007286995,1032,1024
32.129395286995,1032,1024
32.13941097643,1032,1024
32.150857286994,1032,1024
32.160056286994,1032,1024
32.171689286993,1032,1024
32.179395286995,1032,1024
32.189395286995,1032,1024
32.200840899162,1032,1024
32.210268301577,1032,1024
32.222155153052,1032,1024
32.253202525239,1032,1024
32.2578306053,1032,1024
32.295901993467,1032,1024
32.296584605301,1032,1024
32.299895217135,1032,1024
32.314225633905,1032,1024
32.319150633905,1032,1024
32.321335886177,1032,1024
32.326249194287,1032,1024
32.332255128532,1032,1024
32.342802942015,1032,1024
32.354409876257,1032,1024
32.3624038105,1032,1024
32.371969315879,1032,1024
32.392819942014,1032,1024
32.404544381633,1032,1024
32.423876021969,1032,1024
32.426060302641,1032,1024
32.427246942977,1032,1024
32.431252251087,1032,1024
32.458989172085,1032,1024
32.460374812421,1032,1024
32.462094480195,1032,1024
32.470493330079,1032,1024
32.479980330079,1032,1024
32.490083330078,1032,1024
32.519559506007,1032,1024
32.523914814117,1032,1024
32.537534035872,1032,1024
32.538072690112,1032,1024
32.543534652462,1032,1024
32.550916343983,1032,1024
32.560196343983,1032,1024
32.572157343981,1032,1024
32.587777035872,1032,1024
32.591116343982,1032,1024
32.604444350786,1032,1024
32.610410326742,1032,1024
32.620155357588,1032,1024
32.634453357589,1032,1024
32.640473333545,1032,1024
32.651294357589,1032,1024
32.660603333544,1032,1024
32.684025693278,1032,1024
32.685372049479,1032,1024
32.689395357589,1032,1024
32.704221056133,1032,1024
32.709395370899,1032,1024
32.747667090027,1032,1024
32.748898771183,1032,1024
32.757882760446,1032,1024
32.783658743945,1032,1024
32.790242743945,1032,1024
32.792337106257,1032,1024
32.802960102028,1032,1024
32.803650783183,1032,1024
32.832178769967,1032,1024
32.834883464135,1032,1024
32.852042348682,1032,1024
32.85326504285,1032,1024
32.854964737018,1032,1024
32.88303445812,1032,1024
32.909570088516,1032,1024
32.9101537954,1032,1024
32.914824263527,1032,1024
32.940822088515,1032,1024
32.944789049361,1032,1024
32.956813009564,1032,1024
32.963193755603,1032,1024
