X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
65.12685152082,1
99.65511693857,2
100.15511693857,3
100.65511693857,4
104.186943400598,5
104.686943400598,6
105.186943400598,7
105.214550170252,8
163.118875476856,9
223.243839428818,10
223.743839428818,11
224.243839428818,12
224.743839428818,13
225.243839428818,14
225.743839428818,15
226.243839428818,16
226.743839428818,17
227.243839428818,18
227.743839428818,19
228.243839428818,20
228.743839428818,21
229.243839428818,22
229.274705162643,23
341.549015272818,24
