X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
63.157510611417,1
104.688230187917,2
110.527551180024,3
111.027551180024,4
111.527551180024,5
111.815564708937,6
170.216245741532,7
227.547014594798,8
398.832265593471,9
399.332265593471,10
399.832265593471,11
400.332265593471,12
400.832265593471,13
401.332265593471,14
401.832265593471,15
402.332265593471,16
402.832265593471,17
403.332265593471,18
403.832265593471,19
404.332265593471,20
404.832265593471,21
405.332265593471,22
405.832265593471,23
405.897332730804,24
406.397332730804,25
406.897332730804,26
