X,frankfurt_urban.MA[0].tcpApp[0]/endToEndDelay:vector
31.350946405181,1.0974
32.298900736785,0.847954
33.28424032682,0.88534
34.62105507705,1.23681
70.842224003095,36.1212
71.759997381124,0.817773
72.676437436897,0.81644
73.594318262057,0.817881
74.511998823558,0.817681
75.4311989278,0.8192
76.352647759497,0.821449
77.282437786456,0.82979
78.217598607514,0.835161
79.174707784342,0.857109
80.516363142851,1.24166
115.570860498646,34.9545
116.432674907367,0.761814
117.16814206937,0.635467
117.903100587343,0.634959
118.637022134294,0.633922
119.372997272029,0.635975
120.10852371342,0.635526
120.843834814447,0.635311
121.57894150593,0.635107
122.314188613508,0.635247
123.050785698135,0.636597
123.787817658895,0.637032
124.52572760202,0.63791
125.264466654981,0.638739
126.004016925001,0.63955
126.740854733305,0.636838
127.481514855047,0.64066
128.222799222967,0.641284
128.970103959632,0.647305
129.72129160403,0.651188
130.47780610425,0.656515
131.239824377949,0.662018
132.012586347775,0.672762
132.789488680216,0.676902
133.812655276339,0.923167
135.167570836548,1.25492
137.343718345975,2.07615
174.541971397954,37.0983
175.290546249603,0.648575
176.02880819497,0.638262
176.780867271721,0.652059
177.525981306576,0.645114
178.30137697801,0.675396
179.085095857516,0.683719
179.834598324605,0.649502
180.591297933545,0.6567
181.357623716187,0.666326
182.143247221993,0.685624
182.934938985003,0.691692
184.140525593964,1.10559
185.537471951764,1.29695
186.867413126167,1.22994
253.05234526975,66.0849
253.793546939117,0.641202
254.530892561633,0.637346
255.266704699781,0.635812
256.002515761892,0.635811
256.737909031177,0.635393
257.475508350591,0.637599
258.213117246717,0.637609
258.950557185727,0.63744
259.689379954236,0.638823
260.427654563729,0.638275
261.162162089495,0.634508
261.898713127366,0.636551
262.636233920277,0.637521
263.37386795162,0.637634
264.111114561935,0.637247
264.854756636152,0.643642
265.592928718522,0.638172
266.331893276712,0.638965
267.07146158892,0.639568
267.811285169844,0.639824
268.552312475172,0.641027
269.294744411625,0.642432
270.049884037836,0.65514
270.800284486992,0.6504
271.54400292962,0.643718
272.29477774595,0.650775
273.038145831045,0.643368
273.797333986825,0.659188
274.544633843177,0.6473
275.299013114086,0.654379
276.053554740695,0.654542
276.839600538236,0.686046
277.60891025094,0.66931
278.379612724269,0.670702
279.166661701815,0.687049
279.935895769002,0.669234
280.95486250451,0.918967
281.806323571635,0.751461
282.606771988187,0.700448
283.429137249459,0.722365
284.621892481193,1.09276
285.784537274872,1.06264
287.000136467666,1.1156
355.92850059019,68.8284
356.674216242937,0.645716
357.413391284552,0.639175
358.153823976699,0.640433
358.892972018986,0.639148
359.633457102151,0.640485
360.37165159982,0.638194
361.115961455181,0.64431
361.854518496796,0.638557
362.594630856548,0.640112
363.332126464923,0.637496
364.072524602877,0.640398
364.8112982487,0.638774
365.555793206742,0.644495
366.295642227979,0.639849
367.035516481044,0.639874
367.777959347589,0.642443
368.516284998186,0.638326
369.261913494885,0.645628
370.001969693668,0.640056
370.740373152768,0.638403
371.483447669845,0.643075
372.220417329015,0.63697
372.958798061644,0.638381
373.700687711569,0.64189
374.438184615528,0.637497
375.174537848414,0.636353
375.920494539889,0.645957
376.655961100264,0.635467
377.397558483323,0.641597
378.13678752561,0.639229
378.876963567897,0.640176
379.616213609512,0.63925
380.355791083343,0.639577
381.096958862088,0.641168
381.833167749158,0.636209
382.570144140061,0.636976
383.310850968613,0.640707
384.058444975297,0.647594
384.796857659723,0.638413
385.534707150451,0.637849
386.27860031151,0.643893
387.019515739705,0.640915
387.768840054463,0.649324
388.516036544801,0.647196
389.277947100541,0.661911
390.030881994254,0.652935
390.792269969585,0.661388
391.55177377478,0.659504
392.31144265422,0.659669
393.071830979605,0.660388
393.834970756202,0.66314
394.602414657256,0.667444
395.387271070581,0.684856
396.174451627927,0.687181
397.3231149986,1.04866
398.901878262729,1.47876
399.85920893,0.857331
