X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
56.335864067429,1
98.8525203958,2
101.971865958791,3
102.471865958791,4
102.971865958791,5
103.422447984429,6
166.044575766904,7
220.737016782044,8
221.237016782044,9
221.737016782044,10
222.237016782044,11
222.737016782044,12
223.237016782044,13
223.737016782044,14
224.237016782044,15
224.737016782044,16
225.237016782044,17
225.737016782044,18
226.237016782044,19
226.499377895934,20
226.999377895934,21
327.372453988376,22
439.458705341108,23
