X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
75.59068590707,1
103.164000565265,2
165.888339657988,3
220.126770395457,4
220.626770395457,5
221.126770395457,6
221.626770395457,7
222.126770395457,8
222.626770395457,9
223.126770395457,10
223.626770395457,11
224.126770395457,12
224.626770395457,13
225.126770395457,14
225.626770395457,15
226.126770395457,16
226.626770395457,17
227.126770395457,18
227.626770395457,19
228.126770395457,20
228.626770395457,21
229.126770395457,22
229.626770395457,23
230.126770395457,24
230.626770395457,25
231.126770395457,26
231.626770395457,27
232.126770395457,28
232.626770395457,29
233.076283244009,30
368.683995034688,31
437.908919685046,32
