X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
72.994167160721,1
102.49664180793,2
107.369431912115,3
107.869431912115,4
108.369431912115,5
108.642705048443,6
159.628137561565,7
220.557202775315,8
221.057202775315,9
221.557202775315,10
222.057202775315,11
222.557202775315,12
223.057202775315,13
223.557202775315,14
224.057202775315,15
224.557202775315,16
225.057202775315,17
225.557202775315,18
226.057202775315,19
226.557202775315,20
226.953503653188,21
227.453503653188,22
227.953503653188,23
338.790731676169,24
434.292260212079,25
