X,frankfurt_urban.MA[0].idLayer/sequenceUpdateCa:vector
86.356860745077,1
86.856860745077,2
87.356860745077,3
87.856860745077,4
88.356860745077,5
88.856860745077,6
89.356860745077,7
89.856860745077,8
90.356860745077,9
90.856860745077,10
91.356860745077,11
91.856860745077,12
92.356860745077,13
92.856860745077,14
93.356860745077,15
93.856860745077,16
94.356860745077,17
94.856860745077,18
95.356860745077,19
95.856860745077,20
96.356860745077,21
96.856860745077,22
97.356860745077,23
97.856860745077,24
98.356860745077,25
98.856860745077,26
99.356860745077,27
99.856860745077,28
100.356860745077,29
100.856860745077,30
102.289806127338,31
164.058798302395,32
231.272817001863,33
382.722747258328,34
439.026416606205,35
