X,frankfurt_urban.MA[0].tcp/rcvd seq
30.253729215245,7.55233e+06
30.343461268088,7.55233e+06
30.344137979096,7.55233e+06
30.433415722794,7.55287e+06
30.435267461174,7.5534e+06
30.522603493892,7.55394e+06
30.5237312597,7.55448e+06
30.524796025508,7.55501e+06
30.525328791316,7.55555e+06
30.613509292457,7.55608e+06
30.614592085771,7.55662e+06
30.615530879085,7.55716e+06
30.616117672399,7.55769e+06
30.616695465713,7.55823e+06
30.617607259027,7.55876e+06
30.618230052341,7.5593e+06
30.618753845655,7.55984e+06
30.702778118571,7.56037e+06
30.703887939477,7.56091e+06
30.705324760383,7.56144e+06
30.706842402195,7.56198e+06
30.707932671769,7.56252e+06
30.708438492675,7.56305e+06
30.708962313581,7.56359e+06
30.713361597205,7.56412e+06
30.714968239017,7.56466e+06
30.715474059923,7.5652e+06
30.716982701735,7.56573e+06
30.717587522641,7.56627e+06
30.718625343547,7.5668e+06
30.719744164453,7.56734e+06
30.792046958481,7.56788e+06
30.794593600293,7.56841e+06
30.796916242105,7.56895e+06
30.799213063011,7.56948e+06
30.801160897721,7.57002e+06
30.801675746235,7.57056e+06
30.802199594749,7.57109e+06
30.804912140291,7.57163e+06
30.806995837319,7.57216e+06
30.807582685833,7.5727e+06
30.808088534347,7.57324e+06
30.809588231375,7.57377e+06
30.811105928403,7.57431e+06
30.811782776917,7.57484e+06
30.881252812195,7.57538e+06
30.885021274913,7.57592e+06
30.886158095819,7.57645e+06
30.890163916725,7.57699e+06
30.891441462267,7.57752e+06
30.893023310781,7.57806e+06
30.893628159295,7.5786e+06
30.894666007809,7.57913e+06
30.897258401865,7.57967e+06
30.898377250379,7.5802e+06
30.899550098893,7.58074e+06
30.900217961254,7.58128e+06
30.90162771367,7.58181e+06
30.903787342294,7.58235e+06
30.97044069356,7.58288e+06
30.974200156278,7.58342e+06
30.976719206171,7.58396e+06
30.97942379809,7.58449e+06
30.980710343632,7.58503e+06
30.98286104066,7.58556e+06
30.984171916868,7.5861e+06
30.985299793076,7.58664e+06
30.989486856466,7.58717e+06
30.990425732674,7.58771e+06
30.99315248509,7.58824e+06
30.994199361298,7.58878e+06
30.994705237506,7.58932e+06
30.99722486613,7.58985e+06
31.059637602633,7.59039e+06
31.063532065351,7.59092e+06
31.065844115244,7.59146e+06
31.068638707163,7.592e+06
31.070006252705,7.59253e+06
31.074569825941,7.59307e+06
31.076590633801,7.5936e+06
31.078108441661,7.59414e+06
31.079973669469,7.59468e+06
31.081104517955,7.59521e+06
31.083272421885,7.59575e+06
31.083832325815,7.59628e+06
31.085437898995,7.59682e+06
31.086598018443,7.59736e+06
31.149819244091,7.59789e+06
31.152864002183,7.59843e+06
31.155213692065,7.59896e+06
31.158550643995,7.5995e+06
31.159633575721,7.60004e+06
31.165751570633,7.60057e+06
31.166825502359,7.60111e+06
31.169097634097,7.60164e+06
31.169756565823,7.60218e+06
31.170496497549,7.60272e+06
31.173092262647,7.60325e+06
31.175280126099,7.60379e+06
31.175903057825,7.60432e+06
31.176913989551,7.60486e+06
31.239169208729,7.6054e+06
31.245277966821,7.60593e+06
31.248303926363,7.60647e+06
31.250217845447,7.607e+06
31.251246804989,7.60754e+06
31.256068535271,7.60808e+06
31.260491029904,7.60861e+06
31.260960989446,7.60915e+06
31.261628948988,7.60968e+06
31.264409827614,7.61022e+06
31.264996787156,7.61076e+06
31.265466746698,7.61129e+06
31.266984665782,7.61183e+06
31.267634625324,7.61236e+06
31.328366201496,7.6129e+06
31.334412593858,7.61344e+06
31.338277878672,7.61397e+06
31.340668797756,7.61451e+06
31.34189578574,7.61504e+06
31.34521959044,7.61558e+06
31.350816941755,7.61612e+06
31.351899929739,7.61665e+06
31.352942917723,7.61719e+06
31.543562294086,7.6177e+06
31.544113339656,7.6177e+06
31.545902385226,7.61824e+06
31.546408430796,7.61877e+06
31.548052521936,7.61931e+06
31.549099567506,7.61984e+06
31.552524658646,7.62038e+06
