X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
196.87672339756,1
197.87672339756,2
199.87672339756,3
203.87672339756,4
211.87672339756,5
227.87672339756,6
259.87672339756,7
291.87672339756,8
292.502966454864,1
293.502966454864,2
295.502966454864,3
299.502966454864,4
307.502966454864,5
323.502966454864,6
339.023221187493,1
340.023221187493,2
342.023221187493,3
346.023221187493,4
354.023221187493,5
370.023221187493,6
402.023221187493,7
