X,frankfurt_urban_n_vehicles_mipv6.MA[3].udp/rcvdPk:vector(packetBytes),frankfurt_urban_n_vehicles_mipv6.MA[3].udpApp[0]/rcvdPk:vector(packetBytes)
39.956275021986,1032,1024
39.957403643444,1032,1024
39.960966037292,1032,1024
39.986089112013,1032,1024
39.988419505861,1032,1024
39.989602271804,1032,1024
39.990712893262,1032,1024
39.99187751472,1032,1024
39.996078637164,1032,1024
39.997261258622,1032,1024
39.99851588008,1032,1024
39.999252273928,1032,1024
40.002992929074,1032,1024
40.006332961521,1032,1024
40.007825364135,1032,1024
40.01238254639,1032,1024
40.012938949004,1032,1024
40.018523084118,1032,1024
40.019286486732,1032,1024
40.02212329196,1032,1024
40.024483723055,1032,1024
40.03205854639,1032,1024
40.032605949004,1032,1024
40.034698357187,1032,1024
40.06141054639,1032,1024
40.065688153638,1032,1024
40.066397556252,1032,1024
40.069126334744,1032,1024
40.069691737358,1032,1024
40.072110989798,1032,1024
40.078058153746,1032,1024
40.07938055636,1032,1024
40.079981958974,1032,1024
40.127525058188,1032,1024
40.146069075812,1032,1024
40.178942622592,1032,1024
40.17970603373,1032,1024
40.249475124963,1032,1024
40.256662223276,1032,1024
40.265750546666,1032,1024
40.279244245478,1032,1024
40.280476981566,1032,1024
40.285351026866,1032,1024
40.287681205284,1032,1024
40.31168932579,1032,1024
40.314012381937,1032,1024
40.324736993289,1032,1024
40.327872175303,1032,1024
40.329099814904,1032,1024
40.369209077298,1032,1024
40.374438753637,1032,1024
40.377215523826,1032,1024
40.384689947418,1032,1024
40.385818587019,1032,1024
40.388393196823,1032,1024
40.420751408364,1032,1024
40.42810547504,1032,1024
40.447104847203,1032,1024
40.447778283063,1032,1024
40.466147366161,1032,1024
40.469494880138,1032,1024
40.475409507888,1032,1024
40.483439763498,1032,1024
40.48621770929,1032,1024
40.48994112253,1032,1024
40.500674562397,1032,1024
40.504361023751,1032,1024
40.506253467517,1032,1024
40.507977120853,1032,1024
40.708167100766,1032,1024
40.709532213824,1032,1024
40.762215568011,1032,1024
40.768032636079,1032,1024
40.772532666957,1032,1024
40.773868131117,1032,1024
40.774640590197,1032,1024
40.827164558678,1032,1024
40.876396901478,1032,1024
40.948768616766,1032,1024
40.952458465686,1032,1024
40.958322589067,1032,1024
40.959670013732,1032,1024
40.988058683329,1032,1024
41.003808819318,1032,1024
41.042076624676,1032,1024
41.045453328052,1032,1024
41.068290819318,1032,1024
41.079562024219,1032,1024
41.080879690039,1032,1024
41.081589170939,1032,1024
41.084051819318,1032,1024
41.085981300218,1032,1024
41.086708781118,1032,1024
41.172765749912,1032,1024
41.173349238036,1032,1024
41.186679669753,1032,1024
41.219724045138,1032,1024
41.231435223762,1032,1024
41.236002127658,1032,1024
41.241946480282,1032,1024
41.246824568062,1032,1024
41.2511669969,1032,1024
41.253959992592,1032,1024
41.256977162282,1032,1024
41.25751565773,1032,1024
41.275070984693,1032,1024
41.285796506577,1032,1024
41.292347863997,1032,1024
41.306372672965,1032,1024
41.309549606077,1032,1024
41.312727060354,1032,1024
41.322907558542,1032,1024
41.330856728822,1032,1024
41.331422231728,1032,1024
41.334804851952,1032,1024
41.36205534731,1032,1024
41.368915783328,1032,1024
41.38342184614,1032,1024
41.387628949532,1032,1024
41.390560575923,1032,1024
41.413574855163,1032,1024
41.426798096487,1032,1024
41.434293532219,1032,1024
41.440145743231,1032,1024
41.442715195353,1032,1024
41.449301679374,1032,1024
41.453885611512,1032,1024
41.457235915798,1032,1024
41.460352960725,1032,1024
41.477388033092,1032,1024
41.497873796829,1032,1024
41.515049382434,1032,1024
41.51571390059,1032,1024
41.517951693886,1032,1024
41.533493864278,1032,1024
41.536251382434,1032,1024
41.544410045035,1032,1024
41.547092113471,1032,1024
41.601567602712,1032,1024
41.606390156009,1032,1024
41.611482617941,1032,1024
41.680161798272,1032,1024
41.703646830569,1032,1024
41.738623023606,1032,1024
41.741661677696,1032,1024
41.742380211616,1032,1024
41.74717004173,1032,1024
41.753894235489,1032,1024
41.844747796088,1032,1024
41.848236644486,1032,1024
41.851643685446,1032,1024
41.853917533844,1032,1024
41.870481605635,1032,1024
41.871718147305,1032,1024
41.927800994154,1032,1024
41.934104598598,1032,1024
41.940969867421,1032,1024
41.942282416675,1032,1024
41.942883965929,1032,1024
41.945873836786,1032,1024
41.94662838604,1032,1024
41.949029935294,1032,1024
41.955872940969,1032,1024
41.966637195776,1032,1024
41.96729274503,1032,1024
41.986521450074,1032,1024
41.994817405712,1032,1024
42.005004236985,1032,1024
42.005704793633,1032,1024
42.091218920864,1032,1024
42.10640422976,1032,1024
42.119861424466,1032,1024
42.123940148997,1032,1024
42.151204547689,1032,1024
42.163466918247,1032,1024
42.230411542064,1032,1024
42.234145627962,1032,1024
42.237877232468,1032,1024
42.243053068686,1032,1024
42.249233430374,1032,1024
42.253222760972,1032,1024
42.265272711251,1032,1024
42.269164994331,1032,1024
42.296812107172,1032,1024
42.298250677942,1032,1024
42.337881223569,1032,1024
42.346838797593,1032,1024
42.413812493815,1032,1024
42.441155565705,1032,1024
42.445850100405,1032,1024
42.450296654707,1032,1024
42.475326446647,1032,1024
42.523278641655,1032,1024
42.529514053624,1032,1024
42.53007064405,1032,1024
42.530681234476,1032,1024
42.533642814808,1032,1024
42.536523817794,1032,1024
42.558301917183,1032,1024
42.581972767985,1032,1024
42.664308566467,1032,1024
42.665585163011,1032,1024
42.66681277843,1032,1024
42.670234097572,1032,1024
42.785478599248,1032,1024
