X,frankfurt_urban_n_vehicles_mipv6.MA[5].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
214.641072504649,1
215.641072504649,2
217.641072504649,3
221.641072504649,4
229.641072504649,5
245.641072504649,6
277.641072504649,7
301.292415878384,1
302.292415878384,2
304.292415878384,3
308.292415878384,4
316.292415878384,5
332.292415878384,6
344.981502477451,1
345.981502477451,2
347.981502477451,3
351.981502477451,4
359.981502477451,5
375.981502477451,6
407.981502477451,7
410.159503665477,1
