X,frankfurt_urban_n_vehicles_mipv6.MA[3].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
203.497512982058,1
204.497512982058,2
206.497512982058,3
210.497512982058,4
218.497512982058,5
234.497512982058,6
266.497512982058,7
295.640547022471,1
296.640547022471,2
298.640547022471,3
302.640547022471,4
310.640547022471,5
326.640547022471,6
343.811114070758,1
344.811114070758,2
346.811114070758,3
350.811114070758,4
358.811114070758,5
374.811114070758,6
403.340151419904,1
