X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
150.207718596901,1
151.207718596901,2
153.207718596901,3
157.207718596901,4
165.207718596901,5
181.207718596901,6
213.207718596901,7
245.207718596901,8
277.207718596901,9
287.128331790833,1
288.128331790833,2
290.128331790833,3
294.128331790833,4
302.128331790833,5
318.128331790833,6
331.784769066483,1
332.784769066483,2
334.784769066483,3
338.784769066483,4
346.784769066483,5
362.784769066483,6
394.784769066483,7
396.824461492257,1
397.824461492257,2
399.824461492257,3
