X,frankfurt_urban_n_vehicles_mipv6.MA[7].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
211.006714333292,1
212.006714333292,2
214.006714333292,3
218.006714333292,4
226.006714333292,5
242.006714333292,6
274.006714333292,7
301.426487177729,1
302.426487177729,2
304.426487177729,3
308.426487177729,4
316.426487177729,5
332.426487177729,6
339.140170791931,1
340.140170791931,2
342.140170791931,3
346.140170791931,4
354.140170791931,5
370.140170791931,6
402.140170791931,7
422.610140358342,1
423.610140358342,2
425.610140358342,3
429.610140358342,4
437.610140358342,5
