X,frankfurt_urban_n_vehicles_mipv6.MA[4].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
186.662705208374,1
187.662705208374,2
189.662705208374,3
193.662705208374,4
201.662705208374,5
217.662705208374,6
249.662705208374,7
281.662705208374,8
302.345394850028,1
303.345394850028,2
305.345394850028,3
309.345394850028,4
317.345394850028,5
333.345394850028,6
336.893636543,1
337.893636543,2
339.893636543,3
343.893636543,4
351.893636543,5
367.893636543,6
398.149529659622,1
399.149529659622,2
401.149529659622,3
