X,frankfurt_urban_n_vehicles_mipv6.MA[4].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
196.208388509995,1
197.208388509995,2
199.208388509995,3
203.208388509995,4
211.208388509995,5
227.208388509995,6
259.208388509995,7
291.208388509995,8
298.95463818022,1
299.95463818022,2
301.95463818022,3
305.95463818022,4
313.95463818022,5
329.95463818022,6
343.370819145188,1
344.370819145188,2
346.370819145188,3
350.370819145188,4
358.370819145188,5
374.370819145188,6
405.191354099485,1
406.191354099485,2
408.191354099485,3
412.191354099485,4
420.191354099485,5
436.191354099485,6
