X,frankfurt_urban_n_vehicles_mipv6.MA[6].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
187.933895419381,1
188.933895419381,2
190.933895419381,3
194.933895419381,4
202.933895419381,5
218.933895419381,6
250.933895419381,7
282.933895419381,8
305.075169071671,1
306.075169071671,2
308.075169071671,3
312.075169071671,4
320.075169071671,5
336.075169071671,6
346.543366043421,1
347.543366043421,2
349.543366043421,3
353.543366043421,4
361.543366043421,5
377.543366043421,6
384.234278236072,1
385.234278236072,2
387.234278236072,3
391.234278236072,4
399.234278236072,5
401.690021268373,6
409.543366043421,7
441.543366043421,8
