X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
193.948644162767,1
194.948644162767,2
196.948644162767,3
200.948644162767,4
208.948644162767,5
224.948644162767,6
256.948644162767,7
288.948644162767,8
296.470463637976,1
297.470463637976,2
299.470463637976,3
303.470463637976,4
311.470463637976,5
327.470463637976,6
334.561582230039,1
335.561582230039,2
337.561582230039,3
341.561582230039,4
349.561582230039,5
365.561582230039,6
397.561582230039,7
