X,frankfurt_urban_n_vehicles_multi_radio.MA[0].tcpApp[0]/endToEndDelay:vector
31.268797997887,0.33156
32.797379538055,1.42858
33.485747718041,0.588368
35.313046772271,1.7273
36.098021360127,0.684975
46.247143416305,10.0491
46.498256669612,0.151113
46.749080311809,0.150824
46.995059891399,0.14598
47.251677591423,0.156618
47.510945624629,0.159268
47.759988762032,0.149043
48.01418158643,0.154193
48.287435971106,0.173254
48.536372279315,0.148936
48.797317619075,0.160945
49.04907883767,0.151761
49.304753247379,0.155674
49.558310127493,0.153557
49.820686493536,0.162376
50.068752838122,0.148066
50.319623118777,0.15087
50.568313514313,0.14869
50.832939093524,0.164626
51.084146056547,0.151207
51.34436215134,0.160216
51.593517878066,0.149156
51.835095982362,0.141578
52.085923418948,0.150827
52.350853993585,0.164931
52.597712913385,0.146859
52.873605331613,0.175892
53.12582308652,0.152218
53.378830051247,0.153007
53.64455898546,0.165729
53.913039663055,0.168481
54.157212462054,0.144173
54.423957619663,0.166745
54.682545488222,0.158588
54.935996253113,0.153451
55.186615630552,0.150619
55.437063638455,0.150448
55.690027330113,0.152964
55.942693425833,0.152666
56.196961611398,0.154268
56.45637941678,0.159418
56.718161264928,0.161782
57.012728262879,0.194567
57.261344373957,0.148616
57.514309352235,0.152965
57.760769304471,0.14646
58.015295773774,0.154526
58.268943322208,0.153648
58.524331200421,0.155388
58.766648940853,0.142318
59.013616289777,0.146967
59.266736264393,0.15312
59.511715987006,0.14498
59.767313508037,0.155598
60.0397268087,0.172413
60.28885958615,0.149133
60.54370196076,0.154842
60.790187439562,0.146485
61.036722344169,0.146535
61.283579402811,0.146857
61.530746119437,0.147167
61.789356936448,0.158611
62.052526529484,0.16317
62.320180640972,0.167654
62.573696253406,0.153516
62.82159783466,0.147902
63.07356020927,0.151962
63.3274842551,0.153924
63.580401154888,0.152917
63.826444975706,0.146044
64.074449666284,0.148005
64.340311629093,0.165862
64.59698844787,0.156677
64.878416884353,0.181428
65.121963942995,0.143547
65.381833761393,0.15987
65.626673687229,0.14484
65.870957375241,0.144284
66.128800531957,0.157843
66.377602864887,0.148802
66.626734555465,0.149132
66.874974463671,0.14824
67.123305128201,0.148331
67.372857344807,0.149552
67.643459417868,0.170602
67.895308212638,0.151849
68.14596998136,0.150662
68.399144224012,0.153174
68.640615018782,0.141471
68.888250367344,0.147635
69.14375129318,0.155501
69.409933877848,0.166183
69.65627685578,0.146343
69.910469178294,0.154192
70.154646947016,0.144178
70.419618769506,0.164972
70.673137460083,0.153519
70.920702483327,0.147565
71.160932935871,0.14023
71.410643020561,0.14971
71.662628763235,0.151986
71.906587163893,0.143958
72.150547564551,0.14396
72.406658769931,0.156111
72.662693324542,0.156035
72.923404699152,0.160711
73.178050945368,0.154646
73.42593900401,0.147888
73.677486931684,0.151548
73.934274032126,0.156787
74.193158148302,0.158884
74.4408116736,0.147654
74.689377680146,0.148566
74.936381291115,0.147004
75.189660297661,0.153279
75.439656643656,0.149996
75.695418728345,0.155762
75.952804618711,0.157386
76.209018164641,0.156214
76.468187839095,0.15917
76.721626960773,0.153439
76.975164677399,0.153538
77.220410303401,0.145246
77.491063036076,0.170653
77.740731100712,0.149668
77.991101765242,0.150371
78.248903087756,0.157801
78.515207268456,0.166304
78.780955748128,0.165748
79.031797007434,0.150841
79.282559213443,0.150762
79.527157614101,0.144598
79.777191223969,0.150034
80.030703773195,0.153513
80.281796052597,0.151092
80.534347993597,0.152552
80.788214684175,0.153867
81.036452829382,0.148238
81.285521859409,0.149069
81.529975521373,0.144454
81.777580606063,0.147605
82.044266075497,0.166685
82.302399230149,0.158133
82.572549912701,0.170151
82.833938326207,0.161388
83.087084497064,0.153146
83.336804239738,0.14972
83.596970194188,0.160166
83.847231856152,0.150262
84.095060193602,0.147828
84.346065855566,0.151006
84.600670893559,0.154605
84.847871968878,0.147201
85.106223623122,0.158352
85.354277391844,0.148054
85.603171476534,0.148894
85.847671639368,0.1445
86.094506667187,0.146835
86.343933651498,0.149427
86.58915613117,0.145222
86.846199821748,0.157044
87.120115002908,0.173915
87.389847127402,0.169732
87.640414682608,0.150568
87.895347686587,0.154933
88.140916279422,0.145569
88.380629257354,0.139713
88.634599654061,0.15397
88.885045660607,0.150446
89.137812586443,0.152767
89.383426065245,0.145613
89.637990781871,0.154565
89.881037260673,0.143046
90.1293238057,0.148287
