X,frankfurt_urban_n_vehicles.MA[6].tcp/rcvd seq,frankfurt_urban_n_vehicles.MA[6].tcp/rcvd seq_0
342.387568066044,8.55883e+07,
342.457034589139,8.55883e+07,
342.527196606898,8.55883e+07,
342.528703569598,8.55883e+07,
342.597618015208,8.55883e+07,
342.599423088128,8.55883e+07,
342.60019211872,8.55883e+07,
342.601176143444,8.55883e+07,
342.66746445495,8.55883e+07,
342.668308479674,8.55883e+07,
342.669187552594,8.55883e+07,
342.670321178926,8.55883e+07,
342.670947602042,8.55883e+07,
342.672241626766,8.55883e+07,
342.674434808908,8.55883e+07,
342.675724387897,8.55883e+07,
342.737130358662,8.55883e+07,
342.737649371214,8.55883e+07,
342.816256616096,8.55884e+07,
342.817357616528,8.55884e+07,
342.81779261696,8.55884e+07,
342.818780617392,8.55884e+07,
342.821042143732,8.55884e+07,
342.821991608677,8.55884e+07,
342.822633609109,8.55884e+07,
342.823987040883,8.55884e+07,
342.825052119842,8.55884e+07,
342.825738132394,8.55884e+07,
342.826370144946,8.55884e+07,
342.827012145378,8.55884e+07,
342.82799817005,8.55884e+07,
342.840330324659,8.55884e+07,
342.885261025678,8.55884e+07,
342.886776477742,8.55884e+07,
342.887340478174,8.55884e+07,
342.965947710939,8.55885e+07,
342.967412711371,8.55885e+07,
342.969095688007,8.55885e+07,
342.976896700121,8.55885e+07,
342.978002688439,8.55885e+07,
342.978491676757,8.55885e+07,
342.979007665075,8.55885e+07,
342.979712078661,8.55885e+07,
342.980145641711,8.55885e+07,
342.980786630029,8.55885e+07,
342.981365618347,8.55885e+07,
342.983720928751,8.55885e+07,
342.986000917069,8.55885e+07,
342.986453905387,8.55885e+07,
343.036543102785,8.55885e+07,
343.037104078995,8.55885e+07,
343.037668055205,8.55885e+07,
343.116275263776,8.55886e+07,
343.117277227928,8.55886e+07,
343.11831919208,8.55886e+07,
343.119030192406,8.55886e+07,
343.119725168616,8.55886e+07,
343.120393144826,8.55886e+07,
343.121078755132,8.55886e+07,
343.121702719284,8.55886e+07,
343.122289073456,8.55886e+07,
343.124223037608,8.55886e+07,
343.12486500176,8.55886e+07,
343.125925965912,8.55886e+07,
343.126432930064,8.55886e+07,
343.126984894216,8.55886e+07,
343.185297637078,8.55886e+07,
343.18625205243,8.55886e+07,
343.186789016582,8.55886e+07,
343.265434538345,8.55887e+07,
343.266824177284,8.55887e+07,
343.267776129452,8.55887e+07,
343.26825608162,8.55887e+07,
343.268889033788,8.55887e+07,
343.270104739006,8.55887e+07,
343.270788980068,8.55887e+07,
343.271430932236,8.55887e+07,
343.271962884404,8.55887e+07,
343.273192836572,8.55887e+07,
343.27368978874,8.55887e+07,
343.274438740908,8.55887e+07,
343.275053693076,8.55887e+07,
343.275722645244,8.55887e+07,
343.334409862019,8.55887e+07,
343.335672983813,8.55887e+07,
343.339860924003,8.55887e+07,
343.419435096606,8.55888e+07,
343.420076036796,8.55888e+07,
343.421857893268,8.55888e+07,
343.422800821504,8.55888e+07,
343.42332574974,8.55888e+07,
343.425462677976,8.55888e+07,
343.425969606212,8.55888e+07,
343.428367534448,8.55888e+07,
343.429000462684,8.55888e+07,
343.42961539092,8.55888e+07,
343.430514319156,8.55888e+07,
343.431084247392,8.55888e+07,
343.431717175628,8.55888e+07,
343.432661103864,8.55888e+07,
343.488990374182,8.55888e+07,
343.490688681854,8.55888e+07,
343.49121661009,8.55888e+07,
343.570394764408,8.55889e+07,
343.570936680336,8.55889e+07,
