X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
199.689546413332,1
200.689546413332,2
202.689546413332,3
206.689546413332,4
214.689546413332,5
230.689546413332,6
262.689546413332,7
294.391419885928,1
295.391419885928,2
297.391419885928,3
301.391419885928,4
309.391419885928,5
325.391419885928,6
343.475896213567,1
344.475896213567,2
346.475896213567,3
350.475896213567,4
358.475896213567,5
374.475896213567,6
397.992186260983,1
