X,frankfurt_urban_n_vehicles.MA[1].udpApp[0]/endToEndDelay:vector
37.586901571286,0.0353651
37.598193571286,0.0366571
37.606113569458,0.0345771
37.616113569458,0.0345771
37.626113569458,0.0345771
37.640169569458,0.0386331
37.648283569458,0.0367471
37.679504569458,0.0579681
37.705663656559,0.0641272
37.710740741901,0.0592043
37.711410827243,0.0498744
37.715920912585,0.0443845
37.741653997927,0.0501176
37.744539083269,0.0430027
37.746847567699,0.0353111
37.757842567699,0.0363061
37.766113567699,0.0345771
37.780448567699,0.0389121
37.789269567699,0.0377331
37.816426566015,0.0448901
37.834221839149,0.0526854
37.857012921123,0.0654765
37.861064003097,0.0595276
37.867001085071,0.0554647
37.875530167045,0.0539937
37.876137249019,0.0446008
37.896444330993,0.0549079
37.922510411338,0.060974
37.923923490054,0.0523871
37.92533656877,0.0438001
37.954182647486,0.0526462
37.969717647486,0.0581812
37.970941726202,0.0494053
37.971755804918,0.0402194
37.982037564386,0.0405011
37.986113564386,0.0345771
38.016065562835,0.0445291
38.016789638449,0.0352532
38.029332562835,0.0377961
38.038337562835,0.0368011
38.062160562835,0.0406241
38.066928562835,0.0353921
38.076802562835,0.0352661
38.099963562835,0.0384271
38.110097561357,0.0385611
38.133302561357,0.0517661
38.139644634015,0.0481082
38.140296706673,0.0387603
38.154998561357,0.0434621
38.157384634015,0.0358482
38.168513561357,0.0369771
38.177027561357,0.0354911
38.190124561357,0.0385881
38.223474559973,0.0519381
38.227805629863,0.0462692
38.228610699753,0.0370743
38.236113559973,0.0345771
38.278692559973,0.0471561
38.279353629863,0.0378172
38.311461628515,0.0499252
38.314472695709,0.0429363
38.317494061655,0.0359576
38.355642061655,0.0641056
38.359747128849,0.0582107
38.363744196043,0.0522078
38.386604263237,0.0550678
38.389089330431,0.0475529
38.394004397625,0.042468
38.409674557368,0.0481381
38.429175622048,0.0576392
38.495650522176,0.0841141
38.512766585651,0.0912302
38.57537255804,0.123836
38.58665762031,0.115121
38.604126681459,0.11259
38.605737741487,0.104201
38.610193801515,0.0986574
38.611007861543,0.0894714
38.612429921571,0.0808935
