X,frankfurt_urban_n_vehicles_mipv6.MA[0].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
197.749679563933,1
198.749679563933,2
200.749679563933,3
204.749679563933,4
212.749679563933,5
228.749679563933,6
260.749679563933,7
292.368395105619,1
293.368395105619,2
295.368395105619,3
299.368395105619,4
307.368395105619,5
323.368395105619,6
336.831220798872,1
337.831220798872,2
339.831220798872,3
343.831220798872,4
351.831220798872,5
367.831220798872,6
399.029378022802,1
400.029378022802,2
402.029378022802,3
