X,frankfurt_urban_n_vehicles.MA[7].idLayer/sequenceUpdateCa:vector
113.127831716755,1
113.627831716755,2
114.127831716755,3
215.689185767683,4
216.189185767683,5
216.689185767683,6
217.189185767683,7
217.689185767683,8
218.189185767683,9
218.689185767683,10
219.189185767683,11
219.689185767683,12
220.189185767683,13
310.463891788428,14
310.963891788428,15
311.463891788428,16
347.089825170823,17
347.589825170823,18
348.089825170823,19
348.589825170823,20
349.089825170823,21
349.589825170823,22
350.089825170823,23
350.589825170823,24
351.089825170823,25
351.589825170823,26
352.089825170823,27
352.589825170823,28
353.089825170823,29
353.589825170823,30
354.089825170823,31
354.589825170823,32
355.089825170823,33
355.589825170823,34
408.015187280765,35
