X,frankfurt_urban_n_vehicles.MA[4].idLayer/sequenceUpdateDa:vector
10.7,0
68.702308408347,1
68.712308408347,2
68.722308408347,3
68.732308408347,4
68.742308408347,5
68.752308408347,6
68.762308408347,7
68.772308408347,8
68.782308408347,9
68.792308408347,10
68.802308408347,11
68.812308408347,12
68.822308408347,13
68.832308408347,14
68.842308408347,15
68.852308408347,16
68.862308408347,17
68.872308408347,18
68.882308408347,19
68.892308408347,20
68.902308408347,21
68.912308408347,22
68.922308408347,23
68.932308408347,24
68.942308408347,25
68.952308408347,26
68.962308408347,27
68.972308408347,28
68.982308408347,29
68.992308408347,30
69.002308408347,31
69.012308408347,32
69.022308408347,33
69.032308408347,34
69.042308408347,35
69.052308408347,36
69.062308408347,37
69.072308408347,38
69.082308408347,39
69.092308408347,40
69.102308408347,41
69.112308408347,42
69.122308408347,43
69.132308408347,44
69.142308408347,45
69.152308408347,46
69.162308408347,47
69.172308408347,48
69.182308408347,49
69.192308408347,50
69.202308408347,51
69.212308408347,52
69.222308408347,53
69.232308408347,54
69.242308408347,55
69.252308408347,56
69.262308408347,57
69.272308408347,58
69.282308408347,59
69.292308408347,60
69.302308408347,61
69.312308408347,62
69.322308408347,63
69.332308408347,64
69.342308408347,65
69.352308408347,66
69.362308408347,67
69.372308408347,68
69.382308408347,69
69.392308408347,70
69.402308408347,71
69.412308408347,72
69.422308408347,73
69.432308408347,74
69.442308408347,75
69.452308408347,76
69.462308408347,77
69.472308408347,78
69.482308408347,79
69.492308408347,80
69.502308408347,81
69.512308408347,82
69.522308408347,83
69.532308408347,84
69.542308408347,85
69.552308408347,86
69.562308408347,87
69.572308408347,88
69.582308408347,89
69.592308408347,90
69.602308408347,91
69.612308408347,92
69.622308408347,93
69.632308408347,94
69.642308408347,95
69.652308408347,96
69.662308408347,97
69.672308408347,98
69.682308408347,99
69.692308408347,100
69.702308408347,101
69.712308408347,102
69.722308408347,103
69.732308408347,104
69.742308408347,105
69.752308408347,106
69.762308408347,107
69.772308408347,108
69.782308408347,109
69.792308408347,110
69.802308408347,111
69.812308408347,112
69.822308408347,113
69.832308408347,114
69.842308408347,115
69.852308408347,116
69.862308408347,117
69.872308408347,118
69.882308408347,119
69.892308408347,120
69.902308408347,121
69.912308408347,122
69.922308408347,123
69.932308408347,124
69.942308408347,125
69.952308408347,126
69.962308408347,127
69.972308408347,128
69.982308408347,129
69.992308408347,130
70.002308408347,131
70.012308408347,132
70.022308408347,133
70.032308408347,134
70.042308408347,135
70.052308408347,136
70.062308408347,137
70.072308408347,138
70.082308408347,139
70.092308408347,140
70.102308408347,141
70.112308408347,142
70.122308408347,143
70.132308408347,144
70.142308408347,145
70.152308408347,146
70.162308408347,147
70.172308408347,148
70.182308408347,149
70.192308408347,150
70.202308408347,151
70.212308408347,152
70.222308408347,153
70.232308408347,154
70.242308408347,155
70.252308408347,156
70.262308408347,157
70.272308408347,158
70.282308408347,159
70.292308408347,160
70.302308408347,161
70.312308408347,162
70.322308408347,163
70.332308408347,164
70.342308408347,165
70.352308408347,166
70.362308408347,167
70.372308408347,168
70.382308408347,169
70.392308408347,170
70.402308408347,171
70.412308408347,172
70.422308408347,173
70.432308408347,174
70.442308408347,175
70.452308408347,176
70.462308408347,177
70.472308408347,178
70.482308408347,179
70.492308408347,180
70.502308408347,181
70.512308408347,182
70.522308408347,183
70.532308408347,184
70.542308408347,185
70.552308408347,186
70.562308408347,187
70.572308408347,188
70.582308408347,189
70.592308408347,190
70.602308408347,191
70.612308408347,192
70.622308408347,193
70.632308408347,194
70.642308408347,195
70.652308408347,196
70.662308408347,197
70.672308408347,198
70.682308408347,199
70.692308408347,200
70.702308408347,201
70.712308408347,202
70.722308408347,203
70.732308408347,204
70.742308408347,205
70.752308408347,206
70.762308408347,207
70.772308408347,208
70.782308408347,209
70.792308408347,210
70.802308408347,211
70.812308408347,212
70.822308408347,213
70.832308408347,214
70.842308408347,215
70.852308408347,216
70.862308408347,217
70.872308408347,218
70.882308408347,219
70.892308408347,220
70.902308408347,221
70.912308408347,222
70.922308408347,223
70.932308408347,224
70.942308408347,225
70.952308408347,226
70.962308408347,227
70.972308408347,228
70.982308408347,229
70.992308408347,230
71.002308408347,231
71.012308408347,232
71.022308408347,233
71.032308408347,234
71.042308408347,235
71.052308408347,236
71.062308408347,237
71.072308408347,238
71.082308408347,239
71.092308408347,240
71.102308408347,241
71.112308408347,242
71.122308408347,243
71.132308408347,244
71.142308408347,245
71.152308408347,246
71.162308408347,247
71.172308408347,248
71.182308408347,249
