X,frankfurt_urban_n_vehicles_mipv6.MA[1].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
193.302392331262,1
194.302392331262,2
196.302392331262,3
200.302392331262,4
208.302392331262,5
224.302392331262,6
256.302392331262,7
288.302392331262,8
298.251153225478,1
299.251153225478,2
301.251153225478,3
305.251153225478,4
313.251153225478,5
329.251153225478,6
337.649155830184,1
338.649155830184,2
340.649155830184,3
344.649155830184,4
352.649155830184,5
368.649155830184,6
399.65339304407,1
400.65339304407,2
402.65339304407,3
406.65339304407,4
