X,frankfurt_urban_n_vehicles_mipv6.MA[5].networkLayer.mipv6support.xMobileIPv6/statVectorBUtoHA:vector
197.855179196835,1
198.855179196835,2
200.855179196835,3
204.855179196835,4
212.855179196835,5
228.855179196835,6
260.855179196835,7
292.855179196835,8
303.517647031212,1
304.517647031212,2
306.517647031212,3
310.517647031212,4
318.517647031212,5
334.517647031212,6
346.040198976366,1
347.040198976366,2
349.040198976366,3
353.040198976366,4
361.040198976366,5
377.040198976366,6
407.086504470396,1
408.086504470396,2
410.086504470396,3
414.086504470396,4
422.086504470396,5
438.086504470396,6
